Year,Entidad federativa,Ocupación carcelaria estatal,GeoCode,Value
2021,Coahuila de Zaragoza,Centros penitenciarios estatales,5,119.4587629
2020,Coahuila de Zaragoza,Centros penitenciarios estatales,5,98.03479381
2019,Coahuila de Zaragoza,Centros penitenciarios estatales,5,67.42912371
2018,Coahuila de Zaragoza,Centros penitenciarios estatales,5,61.50128866
2017,Coahuila de Zaragoza,Centros penitenciarios estatales,5,68.84933249
2016,Coahuila de Zaragoza,Centros penitenciarios estatales,5,70.820089
2015,Coahuila de Zaragoza,Centros penitenciarios estatales,5,92.4205379
2021,Coahuila de Zaragoza,Centros de internamiento para adolescentes estatales,5,50.0
2020,Coahuila de Zaragoza,Centros de internamiento para adolescentes estatales,5,53.57142857
2019,Coahuila de Zaragoza,Centros de internamiento para adolescentes estatales,5,61.9047619
2018,Coahuila de Zaragoza,Centros de internamiento para adolescentes estatales,5,36.9047619
2017,Coahuila de Zaragoza,Centros de internamiento para adolescentes estatales,5,44.04761905
2016,Coahuila de Zaragoza,Centros de internamiento para adolescentes estatales,5,31.50684932
2015,Coahuila de Zaragoza,Centros de internamiento para adolescentes estatales,5,49.31506849000001
2021,Colima,Total Estatal,6,33.66754617
2020,Colima,Total Estatal,6,34.90765172
2019,Colima,Total Estatal,6,37.09762533
2018,Colima,Total Estatal,6,39.76408912
2017,Colima,Total Estatal,6,48.42428901
2016,Colima,Total Estatal,6,64.16230366
2015,Colima,Total Estatal,6,78.44644751
2021,Colima,Centros penitenciarios estatales,6,34.60179397
2020,Colima,Centros penitenciarios estatales,6,35.85213373
2019,Colima,Centros penitenciarios estatales,6,38.05381897
2018,Colima,Centros penitenciarios estatales,6,41.22638927
2017,Colima,Centros penitenciarios estatales,6,51.54667397
2016,Colima,Centros penitenciarios estatales,6,67.37569061
2015,Colima,Centros penitenciarios estatales,6,81.66293393
2021,Colima,Centros de internamiento para adolescentes estatales,6,2.702702703
2020,Colima,Centros de internamiento para adolescentes estatales,6,3.603603604
2019,Colima,Centros de internamiento para adolescentes estatales,6,5.405405405
2018,Colima,Centros de internamiento para adolescentes estatales,6,6.790123457
2017,Colima,Centros de internamiento para adolescentes estatales,6,2.7999999999999994
2016,Colima,Centros de internamiento para adolescentes estatales,6,6.0
2015,Colima,Centros de internamiento para adolescentes estatales,6,21.0
2021,Chiapas,Total Estatal,7,92.88959115
2020,Chiapas,Total Estatal,7,86.33648102
2019,Chiapas,Total Estatal,7,76.66343356
2018,Chiapas,Total Estatal,7,63.18106769
2017,Chiapas,Total Estatal,7,72.68230121
2016,Chiapas,Total Estatal,7,85.19144144
2015,Chiapas,Total Estatal,7,114.1018361
2021,Chiapas,Centros penitenciarios estatales,7,96.79950444
2020,Chiapas,Centros penitenciarios estatales,7,94.6318693
2019,Chiapas,Centros penitenciarios estatales,7,83.24152542
2018,Chiapas,Centros penitenciarios estatales,7,69.11912921
2017,Chiapas,Centros penitenciarios estatales,7,79.54911433
2016,Chiapas,Centros penitenciarios estatales,7,93.35808581
2015,Chiapas,Centros penitenciarios estatales,7,122.9372937
2021,Chiapas,Centros de internamiento para adolescentes estatales,7,6.818181818
2020,Chiapas,Centros de internamiento para adolescentes estatales,7,4.201680672
2019,Chiapas,Centros de internamiento para adolescentes estatales,7,5.287356322
2018,Chiapas,Centros de internamiento para adolescentes estatales,7,3.0612244899999994
2017,Chiapas,Centros de internamiento para adolescentes estatales,7,3.0612244899999994
2016,Chiapas,Centros de internamiento para adolescentes estatales,7,2.708333333
2015,Chiapas,Centros de internamiento para adolescentes estatales,7,15.63218391
2021,Chihuahua,Total Estatal,8,116.8378624
2020,Chihuahua,Total Estatal,8,98.78017463
2019,Chihuahua,Total Estatal,8,103.6618271
2018,Chihuahua,Total Estatal,8,104.9056119
2017,Chihuahua,Total Estatal,8,96.24697337000002
2016,Chihuahua,Total Estatal,8,93.52353437
2015,Chihuahua,Total Estatal,8,115.6160637
2021,Chihuahua,Centros penitenciarios estatales,8,123.5563576
2020,Chihuahua,Centros penitenciarios estatales,8,104.1285031
2019,Chihuahua,Centros penitenciarios estatales,8,109.2276145
2018,Chihuahua,Centros penitenciarios estatales,8,112.7117458
2017,Chihuahua,Centros penitenciarios estatales,8,102.8492647
2016,Chihuahua,Centros penitenciarios estatales,8,99.48024948
2015,Chihuahua,Centros penitenciarios estatales,8,116.9619249
2021,Chihuahua,Centros de internamiento para adolescentes estatales,8,17.45379877
2020,Chihuahua,Centros de internamiento para adolescentes estatales,8,16.06765328
2019,Chihuahua,Centros de internamiento para adolescentes estatales,8,16.66666667
2018,Chihuahua,Centros de internamiento para adolescentes estatales,8,18.32298137
