Year,Entidad federativa,Sexo (t-h-m-na),Intoxicaciones_grupo de edad,GeoCode,Value
2000,Estados Unidos Mexicanos,Total,De 25 a 29 años,0,1.01368797010516
1999,Estados Unidos Mexicanos,Total,De 25 a 29 años,0,1.05048399259361
1998,Estados Unidos Mexicanos,Total,De 25 a 29 años,0,1.10563598551107
2021,Estados Unidos Mexicanos,Total,De 30 a 34 años,0,0.448142806580967
2020,Estados Unidos Mexicanos,Total,De 30 a 34 años,0,0.474775193945667
2019,Estados Unidos Mexicanos,Total,De 30 a 34 años,0,0.399859782502936
2018,Estados Unidos Mexicanos,Total,De 30 a 34 años,0,0.458182705768812
2017,Estados Unidos Mexicanos,Total,De 30 a 34 años,0,0.4127192015174519
2016,Estados Unidos Mexicanos,Total,De 30 a 34 años,0,0.559375504580909
2015,Estados Unidos Mexicanos,Total,De 30 a 34 años,0,0.4482659052123161
2014,Estados Unidos Mexicanos,Total,De 30 a 34 años,0,0.399770398534442
2013,Estados Unidos Mexicanos,Total,De 30 a 34 años,0,0.540854089735806
2012,Estados Unidos Mexicanos,Total,De 30 a 34 años,0,0.536373972715455
2011,Estados Unidos Mexicanos,Total,De 30 a 34 años,0,0.85368487307321
2010,Estados Unidos Mexicanos,Total,De 30 a 34 años,0,0.628460752975121
2009,Estados Unidos Mexicanos,Total,De 30 a 34 años,0,0.504145482786128
2008,Estados Unidos Mexicanos,Total,De 30 a 34 años,0,0.637820939094479
2007,Estados Unidos Mexicanos,Total,De 30 a 34 años,0,0.869301682813251
2006,Estados Unidos Mexicanos,Total,De 30 a 34 años,0,0.757634429602292
2005,Estados Unidos Mexicanos,Total,De 30 a 34 años,0,0.949613160469649
2004,Estados Unidos Mexicanos,Total,De 30 a 34 años,0,0.617952178164017
2003,Estados Unidos Mexicanos,Total,De 30 a 34 años,0,0.767324553127791
2002,Estados Unidos Mexicanos,Total,De 30 a 34 años,0,0.808459307548187
2001,Estados Unidos Mexicanos,Total,De 30 a 34 años,0,0.642471369705692
2000,Estados Unidos Mexicanos,Total,De 30 a 34 años,0,0.978415090859914
1999,Estados Unidos Mexicanos,Total,De 30 a 34 años,0,1.12435457591059
1998,Estados Unidos Mexicanos,Total,De 30 a 34 años,0,1.15177177614164
2021,Estados Unidos Mexicanos,Total,De 35 a 39 años,0,0.49216398378965
2020,Estados Unidos Mexicanos,Total,De 35 a 39 años,0,0.633435527598453
2019,Estados Unidos Mexicanos,Total,De 35 a 39 años,0,0.462618036709982
2018,Estados Unidos Mexicanos,Total,De 35 a 39 años,0,0.446194135636153
2017,Estados Unidos Mexicanos,Total,De 35 a 39 años,0,0.521056229609333
2016,Estados Unidos Mexicanos,Total,De 35 a 39 años,0,0.572994600753733
2015,Estados Unidos Mexicanos,Total,De 35 a 39 años,0,0.648018271758834
2014,Estados Unidos Mexicanos,Total,De 35 a 39 años,0,0.391157006866583
2013,Estados Unidos Mexicanos,Total,De 35 a 39 años,0,0.560539654185198
2012,Estados Unidos Mexicanos,Total,De 35 a 39 años,0,0.672657643925313
2011,Estados Unidos Mexicanos,Total,De 35 a 39 años,0,0.848928143326236
2010,Estados Unidos Mexicanos,Total,De 35 a 39 años,0,0.614438795567242
2009,Estados Unidos Mexicanos,Total,De 35 a 39 años,0,0.562413669501731
2008,Estados Unidos Mexicanos,Total,De 35 a 39 años,0,0.701395611482433
2007,Estados Unidos Mexicanos,Total,De 35 a 39 años,0,1.00441446680332
2006,Estados Unidos Mexicanos,Total,De 35 a 39 años,0,1.0556942880391
2005,Estados Unidos Mexicanos,Total,De 35 a 39 años,0,0.986133186874293
2004,Estados Unidos Mexicanos,Total,De 35 a 39 años,0,0.884400191367356
2003,Estados Unidos Mexicanos,Total,De 35 a 39 años,0,0.963823531104168
2002,Estados Unidos Mexicanos,Total,De 35 a 39 años,0,0.6779728964122261
2001,Estados Unidos Mexicanos,Total,De 35 a 39 años,0,0.770184729562469
2000,Estados Unidos Mexicanos,Total,De 35 a 39 años,0,0.866907956047767
1999,Estados Unidos Mexicanos,Total,De 35 a 39 años,0,1.04879069665445
1998,Estados Unidos Mexicanos,Total,De 35 a 39 años,0,1.11168657239565
2021,Estados Unidos Mexicanos,Total,De 40 a 44 años,0,0.559188296545882
2020,Estados Unidos Mexicanos,Total,De 40 a 44 años,0,0.575318546687819
2019,Estados Unidos Mexicanos,Total,De 40 a 44 años,0,0.45809972758738
2018,Estados Unidos Mexicanos,Total,De 40 a 44 años,0,0.387908504021157
2017,Estados Unidos Mexicanos,Total,De 40 a 44 años,0,0.3660419916051929
2016,Estados Unidos Mexicanos,Total,De 40 a 44 años,0,0.541614187534405
2015,Estados Unidos Mexicanos,Total,De 40 a 44 años,0,0.560709793805827
2014,Estados Unidos Mexicanos,Total,De 40 a 44 años,0,0.4556921070709359
2013,Estados Unidos Mexicanos,Total,De 40 a 44 años,0,0.47738048682746
2012,Estados Unidos Mexicanos,Total,De 40 a 44 años,0,0.593290595315694
2011,Estados Unidos Mexicanos,Total,De 40 a 44 años,0,0.634461919595586
2010,Estados Unidos Mexicanos,Total,De 40 a 44 años,0,0.45668899922003
2009,Estados Unidos Mexicanos,Total,De 40 a 44 años,0,0.596300551379243
2008,Estados Unidos Mexicanos,Total,De 40 a 44 años,0,0.626642842580177
2007,Estados Unidos Mexicanos,Total,De 40 a 44 años,0,0.822814891633035
2006,Estados Unidos Mexicanos,Total,De 40 a 44 años,0,0.537615001609005
2005,Estados Unidos Mexicanos,Total,De 40 a 44 años,0,0.820397608856508
2004,Estados Unidos Mexicanos,Total,De 40 a 44 años,0,0.843422231117804
2003,Estados Unidos Mexicanos,Total,De 40 a 44 años,0,0.86823426362965
2002,Estados Unidos Mexicanos,Total,De 40 a 44 años,0,0.671543334002581
2001,Estados Unidos Mexicanos,Total,De 40 a 44 años,0,0.765249554998486
2000,Estados Unidos Mexicanos,Total,De 40 a 44 años,0,0.976950421609406
1999,Estados Unidos Mexicanos,Total,De 40 a 44 años,0,0.899197991918697
1998,Estados Unidos Mexicanos,Total,De 40 a 44 años,0,0.95502755353974
2021,Estados Unidos Mexicanos,Total,De 45 a 49 años,0,0.515634866626011
2020,Estados Unidos Mexicanos,Total,De 45 a 49 años,0,0.738317118149706
2019,Estados Unidos Mexicanos,Total,De 45 a 49 años,0,0.37494551976952
2018,Estados Unidos Mexicanos,Total,De 45 a 49 años,0,0.421477658523016
2017,Estados Unidos Mexicanos,Total,De 45 a 49 años,0,0.484274008691104
2016,Estados Unidos Mexicanos,Total,De 45 a 49 años,0,0.468004397589557
2015,Estados Unidos Mexicanos,Total,De 45 a 49 años,0,0.662685384473845
2014,Estados Unidos Mexicanos,Total,De 45 a 49 años,0,0.260129891525835
2013,Estados Unidos Mexicanos,Total,De 45 a 49 años,0,0.518735695863187
2012,Estados Unidos Mexicanos,Total,De 45 a 49 años,0,0.395229098347137
2011,Estados Unidos Mexicanos,Total,De 45 a 49 años,0,0.561503156427605
2010,Estados Unidos Mexicanos,Total,De 45 a 49 años,0,0.480542205381176
2009,Estados Unidos Mexicanos,Total,De 45 a 49 años,0,0.593061086445078
2008,Estados Unidos Mexicanos,Total,De 45 a 49 años,0,0.645127336252252
2007,Estados Unidos Mexicanos,Total,De 45 a 49 años,0,0.841620224133986
2006,Estados Unidos Mexicanos,Total,De 45 a 49 años,0,0.925703407532394
2005,Estados Unidos Mexicanos,Total,De 45 a 49 años,0,1.07327229991521
2004,Estados Unidos Mexicanos,Total,De 45 a 49 años,0,0.626224440013472
2003,Estados Unidos Mexicanos,Total,De 45 a 49 años,0,0.896205364644576
2002,Estados Unidos Mexicanos,Total,De 45 a 49 años,0,0.7852738653217118
2001,Estados Unidos Mexicanos,Total,De 45 a 49 años,0,0.708392928733236
2000,Estados Unidos Mexicanos,Total,De 45 a 49 años,0,0.739606506225984
1999,Estados Unidos Mexicanos,Total,De 45 a 49 años,0,0.916541868235529
1998,Estados Unidos Mexicanos,Total,De 45 a 49 años,0,0.502659698127718
2021,Estados Unidos Mexicanos,Total,De 50 a 54 años,0,0.368458375824142
2020,Estados Unidos Mexicanos,Total,De 50 a 54 años,0,0.725821506555765
2019,Estados Unidos Mexicanos,Total,De 50 a 54 años,0,0.639699989630909
2018,Estados Unidos Mexicanos,Total,De 50 a 54 años,0,0.335479129004687
2017,Estados Unidos Mexicanos,Total,De 50 a 54 años,0,0.406437914029315
2016,Estados Unidos Mexicanos,Total,De 50 a 54 años,0,0.368694325153128
2015,Estados Unidos Mexicanos,Total,De 50 a 54 años,0,0.608641625395555
2014,Estados Unidos Mexicanos,Total,De 50 a 54 años,0,0.304266475226708
2013,Estados Unidos Mexicanos,Total,De 50 a 54 años,0,0.574420031593102
2012,Estados Unidos Mexicanos,Total,De 50 a 54 años,0,0.50295386601776
2011,Estados Unidos Mexicanos,Total,De 50 a 54 años,0,0.6875318331884251
2010,Estados Unidos Mexicanos,Total,De 50 a 54 años,0,0.61664803233394
2009,Estados Unidos Mexicanos,Total,De 50 a 54 años,0,0.600892204745606
2008,Estados Unidos Mexicanos,Total,De 50 a 54 años,0,0.667626101009326
2007,Estados Unidos Mexicanos,Total,De 50 a 54 años,0,0.435292563396553
2006,Estados Unidos Mexicanos,Total,De 50 a 54 años,0,0.659212114227366
2005,Estados Unidos Mexicanos,Total,De 50 a 54 años,0,0.807937174805287
2004,Estados Unidos Mexicanos,Total,De 50 a 54 años,0,0.769692393676307
2003,Estados Unidos Mexicanos,Total,De 50 a 54 años,0,0.880526990224079
2002,Estados Unidos Mexicanos,Total,De 50 a 54 años,0,0.8632571068315741
2001,Estados Unidos Mexicanos,Total,De 50 a 54 años,0,0.981974593792181
2000,Estados Unidos Mexicanos,Total,De 50 a 54 años,0,0.902594084514834
1999,Estados Unidos Mexicanos,Total,De 50 a 54 años,0,0.754607861987655
1998,Estados Unidos Mexicanos,Total,De 50 a 54 años,0,0.4692685417386209
2021,Estados Unidos Mexicanos,Total,De 55 a 59 años,0,0.401024617898731
2020,Estados Unidos Mexicanos,Total,De 55 a 59 años,0,0.857398949960654
2019,Estados Unidos Mexicanos,Total,De 55 a 59 años,0,0.546185152185683
2018,Estados Unidos Mexicanos,Total,De 55 a 59 años,0,0.453328309246791
2017,Estados Unidos Mexicanos,Total,De 55 a 59 años,0,0.430141471659849
2016,Estados Unidos Mexicanos,Total,De 55 a 59 años,0,0.4446994054368949
2015,Estados Unidos Mexicanos,Total,De 55 a 59 años,0,0.540960204362744
2014,Estados Unidos Mexicanos,Total,De 55 a 59 años,0,0.582645083828061
2013,Estados Unidos Mexicanos,Total,De 55 a 59 años,0,0.584823695150035
2012,Estados Unidos Mexicanos,Total,De 55 a 59 años,0,0.54189662463882
2011,Estados Unidos Mexicanos,Total,De 55 a 59 años,0,0.82477861174678
2010,Estados Unidos Mexicanos,Total,De 55 a 59 años,0,0.615572810198219
2009,Estados Unidos Mexicanos,Total,De 55 a 59 años,0,0.565919601345654
2008,Estados Unidos Mexicanos,Total,De 55 a 59 años,0,0.9127296253244892
2007,Estados Unidos Mexicanos,Total,De 55 a 59 años,0,0.867667301649855
2006,Estados Unidos Mexicanos,Total,De 55 a 59 años,0,0.8450841310393281
2005,Estados Unidos Mexicanos,Total,De 55 a 59 años,0,0.877907311151542
2004,Estados Unidos Mexicanos,Total,De 55 a 59 años,0,0.81693621896153
2003,Estados Unidos Mexicanos,Total,De 55 a 59 años,0,0.84770464405208
2002,Estados Unidos Mexicanos,Total,De 55 a 59 años,0,0.8786173266716121
2001,Estados Unidos Mexicanos,Total,De 55 a 59 años,0,1.11933433187284
2000,Estados Unidos Mexicanos,Total,De 55 a 59 años,0,0.9040515613151272
1999,Estados Unidos Mexicanos,Total,De 55 a 59 años,0,1.04589772763777
1998,Estados Unidos Mexicanos,Total,De 55 a 59 años,0,0.84821827894969
2021,Estados Unidos Mexicanos,Total,De 60 a 64 años,0,0.431372532908589
2020,Estados Unidos Mexicanos,Total,De 60 a 64 años,0,0.915439764489283
2019,Estados Unidos Mexicanos,Total,De 60 a 64 años,0,0.707488299359524
2018,Estados Unidos Mexicanos,Total,De 60 a 64 años,0,0.299008808799507
2017,Estados Unidos Mexicanos,Total,De 60 a 64 años,0,0.455273129132951
2016,Estados Unidos Mexicanos,Total,De 60 a 64 años,0,0.57480772681538
2015,Estados Unidos Mexicanos,Total,De 60 a 64 años,0,0.652299211213702
2014,Estados Unidos Mexicanos,Total,De 60 a 64 años,0,0.435781828006718
2013,Estados Unidos Mexicanos,Total,De 60 a 64 años,0,0.795348574295073
2012,Estados Unidos Mexicanos,Total,De 60 a 64 años,0,0.6806751587304879
2011,Estados Unidos Mexicanos,Total,De 60 a 64 años,0,0.7389169386548081
2010,Estados Unidos Mexicanos,Total,De 60 a 64 años,0,0.831035732618728
2009,Estados Unidos Mexicanos,Total,De 60 a 64 años,0,0.431093515126574
2008,Estados Unidos Mexicanos,Total,De 60 a 64 años,0,0.722809208313958
2007,Estados Unidos Mexicanos,Total,De 60 a 64 años,0,0.428414139380256
2006,Estados Unidos Mexicanos,Total,De 60 a 64 años,0,0.8877213708933182
2005,Estados Unidos Mexicanos,Total,De 60 a 64 años,0,0.9568337834279448
2004,Estados Unidos Mexicanos,Total,De 60 a 64 años,0,0.514557423223085
2003,Estados Unidos Mexicanos,Total,De 60 a 64 años,0,0.736401427145966
2002,Estados Unidos Mexicanos,Total,De 60 a 64 años,0,1.05648429916424
2001,Estados Unidos Mexicanos,Total,De 60 a 64 años,0,1.4843907580085098
2000,Estados Unidos Mexicanos,Total,De 60 a 64 años,0,1.08248880413402
1999,Estados Unidos Mexicanos,Total,De 60 a 64 años,0,0.651507028830117
1998,Estados Unidos Mexicanos,Total,De 60 a 64 años,0,1.05439327335433
2021,Estados Unidos Mexicanos,Total,De 65 a 69 años,0,0.601447355723031
2020,Estados Unidos Mexicanos,Total,De 65 a 69 años,0,1.37045946080986
2019,Estados Unidos Mexicanos,Total,De 65 a 69 años,0,0.596090895516294
2018,Estados Unidos Mexicanos,Total,De 65 a 69 años,0,0.683475610172851
2017,Estados Unidos Mexicanos,Total,De 65 a 69 años,0,0.420488802059748
2016,Estados Unidos Mexicanos,Total,De 65 a 69 años,0,0.470734123314856
2015,Estados Unidos Mexicanos,Total,De 65 a 69 años,0,1.18569769591039
2014,Estados Unidos Mexicanos,Total,De 65 a 69 años,0,0.686826593636515
2013,Estados Unidos Mexicanos,Total,De 65 a 69 años,0,0.599918486075705
2012,Estados Unidos Mexicanos,Total,De 65 a 69 años,0,0.466344500341014
2011,Estados Unidos Mexicanos,Total,De 65 a 69 años,0,1.12638072151122
2010,Estados Unidos Mexicanos,Total,De 65 a 69 años,0,0.956564486170989
2009,Estados Unidos Mexicanos,Total,De 65 a 69 años,0,0.859610922904075
