Year,Entidad federativa,Sexo,Sexo_ Proporción plazas públicas,GeoCode,Value
2015,Estatal,Total,De 35 a 44 años,8002000,1.42224323712588
2020,Estatal,Total,De 45 a 54 años,8002000,1.46469101189456
2019,Estatal,Total,De 45 a 54 años,8002000,1.4940241675921495
2018,Estatal,Total,De 45 a 54 años,8002000,1.4947352774833098
2017,Estatal,Total,De 45 a 54 años,8002000,1.5207893854446797
2016,Estatal,Total,De 45 a 54 años,8002000,1.61041483633254
2015,Estatal,Total,De 45 a 54 años,8002000,1.6882346838012998
2020,Estatal,Total,De 55 a 59 años,8002000,1.13850513476047
2019,Estatal,Total,De 55 a 59 años,8002000,1.1752565037521805
2018,Estatal,Total,De 55 a 59 años,8002000,1.10676585545114
2017,Estatal,Total,De 55 a 59 años,8002000,1.1192973464351
2016,Estatal,Total,De 55 a 59 años,8002000,0.9486936073582308
2015,Estatal,Total,De 55 a 59 años,8002000,0.870152647693735
2020,Estatal,Total,De 60 años y más,8002000,0.6271502396376248
2019,Estatal,Total,De 60 años y más,8002000,0.6516376229744861
2018,Estatal,Total,De 60 años y más,8002000,0.543207859025494
2017,Estatal,Total,De 60 años y más,8002000,0.572065885185716
2016,Estatal,Total,De 60 años y más,8002000,0.471062597316076
2015,Estatal,Total,De 60 años y más,8002000,0.4265547283816069
2020,Estatal,Hombres,Total,8002000,0.9118945115420052
2019,Estatal,Hombres,Total,8002000,0.928511099765246
2018,Estatal,Hombres,Total,8002000,0.945800238577706
2017,Estatal,Hombres,Total,8002000,0.958043364482276
2016,Estatal,Hombres,Total,8002000,0.9676953466464802
2015,Estatal,Hombres,Total,8002000,0.980318531015479
2020,Estatal,Hombres,Menores de 25 años,8002000,0.149809067965442
2019,Estatal,Hombres,Menores de 25 años,8002000,0.1536326346453349
2018,Estatal,Hombres,Menores de 25 años,8002000,0.177770736641386
2017,Estatal,Hombres,Menores de 25 años,8002000,0.182014992523803
2016,Estatal,Hombres,Menores de 25 años,8002000,0.185796387608488
2015,Estatal,Hombres,Menores de 25 años,8002000,0.198239599660894
2020,Estatal,Hombres,De 25 a 34 años,8002000,0.8556666134781351
2019,Estatal,Hombres,De 25 a 34 años,8002000,0.8981921191922109
2018,Estatal,Hombres,De 25 a 34 años,8002000,0.912211962364878
2017,Estatal,Hombres,De 25 a 34 años,8002000,0.9260161463204488
2016,Estatal,Hombres,De 25 a 34 años,8002000,0.935151986539667
2015,Estatal,Hombres,De 25 a 34 años,8002000,0.951324662241433
2020,Estatal,Hombres,De 35 a 44 años,8002000,1.42761432942746
2019,Estatal,Hombres,De 35 a 44 años,8002000,1.43098746862551
2018,Estatal,Hombres,De 35 a 44 años,8002000,1.44958224583379
2017,Estatal,Hombres,De 35 a 44 años,8002000,1.43113747650658
2016,Estatal,Hombres,De 35 a 44 años,8002000,1.4364027380660802
2015,Estatal,Hombres,De 35 a 44 años,8002000,1.41847049023489
2020,Estatal,Hombres,De 45 a 54 años,8002000,1.5006232498890295
2019,Estatal,Hombres,De 45 a 54 años,8002000,1.51594203963867
2018,Estatal,Hombres,De 45 a 54 años,8002000,1.54091216042276
2017,Estatal,Hombres,De 45 a 54 años,8002000,1.5458242954010202
2016,Estatal,Hombres,De 45 a 54 años,8002000,1.67178218283569
2015,Estatal,Hombres,De 45 a 54 años,8002000,1.7617109554541002
2020,Estatal,Hombres,De 55 a 59 años,8002000,1.32927772159175
2019,Estatal,Hombres,De 55 a 59 años,8002000,1.36039667969235
2018,Estatal,Hombres,De 55 a 59 años,8002000,1.30814086411307
2017,Estatal,Hombres,De 55 a 59 años,8002000,1.30557246247853
2016,Estatal,Hombres,De 55 a 59 años,8002000,1.0741043298256
2015,Estatal,Hombres,De 55 a 59 años,8002000,0.9930554238037468
2020,Estatal,Hombres,De 60 años y más,8002000,0.8563039657993892
2019,Estatal,Hombres,De 60 años y más,8002000,0.872768420453614
2018,Estatal,Hombres,De 60 años y más,8002000,0.7323124020565172
2017,Estatal,Hombres,De 60 años y más,8002000,0.782688731943677
2016,Estatal,Hombres,De 60 años y más,8002000,0.6389695482667052
2015,Estatal,Hombres,De 60 años y más,8002000,0.572360222208042
2020,Estatal,Mujeres,Total,8002000,1.08246111765191
2019,Estatal,Mujeres,Total,8002000,1.06675556737955
2018,Estatal,Mujeres,Total,8002000,1.05060104023683
2017,Estatal,Mujeres,Total,8002000,1.0391610357338
2016,Estatal,Mujeres,Total,8002000,1.0300970418281798
2015,Estatal,Mujeres,Total,8002000,1.01807077952477
2020,Estatal,Mujeres,Menores de 25 años,8002000,0.19163102627215
2019,Estatal,Mujeres,Menores de 25 años,8002000,0.18936673489129
2018,Estatal,Mujeres,Menores de 25 años,8002000,0.221662135388708
2017,Estatal,Mujeres,Menores de 25 años,8002000,0.226656219374088
2016,Estatal,Mujeres,Menores de 25 años,8002000,0.2230555351232539
2015,Estatal,Mujeres,Menores de 25 años,8002000,0.239097889540169
2020,Estatal,Mujeres,De 25 a 34 años,8002000,1.01779478876192
2019,Estatal,Mujeres,De 25 a 34 años,8002000,1.06325228946647
2018,Estatal,Mujeres,De 25 a 34 años,8002000,1.09807675694835
2017,Estatal,Mujeres,De 25 a 34 años,8002000,1.1001313372616297
2016,Estatal,Mujeres,De 25 a 34 años,8002000,1.10303728325506
2015,Estatal,Mujeres,De 25 a 34 años,8002000,1.10926153018445
2020,Estatal,Mujeres,De 35 a 44 años,8002000,1.44412136034655
2019,Estatal,Mujeres,De 35 a 44 años,8002000,1.4524205622034
2018,Estatal,Mujeres,De 35 a 44 años,8002000,1.4588248123091403
2017,Estatal,Mujeres,De 35 a 44 años,8002000,1.4300698399785097
2016,Estatal,Mujeres,De 35 a 44 años,8002000,1.4311907029668698
2015,Estatal,Mujeres,De 35 a 44 años,8002000,1.4249178178617
2020,Estatal,Mujeres,De 45 a 54 años,8002000,1.43379033292698
2019,Estatal,Mujeres,De 45 a 54 años,8002000,1.4741334364947198
2018,Estatal,Mujeres,De 45 a 54 años,8002000,1.4551638903247697
2017,Estatal,Mujeres,De 45 a 54 años,8002000,1.49857167792948
2016,Estatal,Mujeres,De 45 a 54 años,8002000,1.55679571272105
2015,Estatal,Mujeres,De 45 a 54 años,8002000,1.6231387630449503
2020,Estatal,Mujeres,De 55 a 59 años,8002000,0.9903911773723088
2019,Estatal,Mujeres,De 55 a 59 años,8002000,1.02692437409417
2018,Estatal,Mujeres,De 55 a 59 años,8002000,0.940520388709368
2017,Estatal,Mujeres,De 55 a 59 años,8002000,0.961829412290621
2016,Estatal,Mujeres,De 55 a 59 años,8002000,0.8405971451585279
2015,Estatal,Mujeres,De 55 a 59 años,8002000,0.7618794750001301
2020,Estatal,Mujeres,De 60 años y más,8002000,0.454367414802944
2019,Estatal,Mujeres,De 60 años y más,8002000,0.479453760194243
2018,Estatal,Mujeres,De 60 años y más,8002000,0.391277735135265
2017,Estatal,Mujeres,De 60 años y más,8002000,0.3989901471010441
2016,Estatal,Mujeres,De 60 años y más,8002000,0.330489831653162
2015,Estatal,Mujeres,De 60 años y más,8002000,0.3015815400047499
2020,Aguascalientes,Total,Total,8003001,1.0
2019,Aguascalientes,Total,Total,8003001,1.0
2018,Aguascalientes,Total,Total,8003001,1.0
2017,Aguascalientes,Total,Total,8003001,1.0
2016,Aguascalientes,Total,Total,8003001,1.0
2015,Aguascalientes,Total,Total,8003001,1.0
2020,Aguascalientes,Total,Menores de 25 años,8003001,0.21676639138371
2019,Aguascalientes,Total,Menores de 25 años,8003001,0.222410086036262
2018,Aguascalientes,Total,Menores de 25 años,8003001,0.135977278841133
2017,Aguascalientes,Total,Menores de 25 años,8003001,0.21679503618955
2016,Aguascalientes,Total,Menores de 25 años,8003001,0.2449619953912019
2015,Aguascalientes,Total,Menores de 25 años,8003001,0.222322769855654
2020,Aguascalientes,Total,De 25 a 34 años,8003001,0.9284851719702588
2019,Aguascalientes,Total,De 25 a 34 años,8003001,0.972845137123633
2018,Aguascalientes,Total,De 25 a 34 años,8003001,0.90669901793933
2017,Aguascalientes,Total,De 25 a 34 años,8003001,0.9254683248792228
2016,Aguascalientes,Total,De 25 a 34 años,8003001,0.871449525328046
2015,Aguascalientes,Total,De 25 a 34 años,8003001,1.08880385441339
2020,Aguascalientes,Total,De 35 a 44 años,8003001,1.5045673814019995
2019,Aguascalientes,Total,De 35 a 44 años,8003001,1.47415510561841
2018,Aguascalientes,Total,De 35 a 44 años,8003001,1.52886137161137
2017,Aguascalientes,Total,De 35 a 44 años,8003001,1.410503215366
2016,Aguascalientes,Total,De 35 a 44 años,8003001,1.0457939276270505
2015,Aguascalientes,Total,De 35 a 44 años,8003001,1.37047530789245
2020,Aguascalientes,Total,De 45 a 54 años,8003001,1.5281622893115598
2019,Aguascalientes,Total,De 45 a 54 años,8003001,1.50823960329253
2018,Aguascalientes,Total,De 45 a 54 años,8003001,1.5966182636617
2017,Aguascalientes,Total,De 45 a 54 años,8003001,1.5672796802611195
