Year,Residencia habitual fuera de México o no especificada,Sexo (t-h-m-na),Value
1999,No especificado,Mujeres,0
1998,No especificado,Mujeres,0
2021,No especificado,No especificado,0
2020,No especificado,No especificado,0
2019,No especificado,No especificado,1
2018,No especificado,No especificado,0
2017,No especificado,No especificado,0
2016,No especificado,No especificado,0
2015,No especificado,No especificado,0
2014,No especificado,No especificado,0
2013,No especificado,No especificado,0
2012,No especificado,No especificado,0
2011,No especificado,No especificado,0
2010,No especificado,No especificado,0
2009,No especificado,No especificado,0
2008,No especificado,No especificado,0
2007,No especificado,No especificado,0
2006,No especificado,No especificado,0
2005,No especificado,No especificado,0
2004,No especificado,No especificado,0
2003,No especificado,No especificado,0
2002,No especificado,No especificado,0
2001,No especificado,No especificado,0
2000,No especificado,No especificado,0
1999,No especificado,No especificado,0
1998,No especificado,No especificado,0
