Year,Entidad federativa,Sexo,GeoCode,Value
2013,Campeche,Hombres,4,11.12939651057581
2021,Campeche,Mujeres,4,35.18800166703656
2019,Campeche,Mujeres,4,23.63289880689353
2017,Campeche,Mujeres,4,31.810852364345443
2015,Campeche,Mujeres,4,17.249178610542444
2013,Campeche,Mujeres,4,9.54616688932278
2021,Coahuila de Zaragoza,Total,5,44.49369108653477
2019,Coahuila de Zaragoza,Total,5,37.26327142496567
2017,Coahuila de Zaragoza,Total,5,36.8534682706581
2015,Coahuila de Zaragoza,Total,5,29.569235245454845
2013,Coahuila de Zaragoza,Total,5,35.46247816032156
2021,Coahuila de Zaragoza,Hombres,5,45.38778018890397
2019,Coahuila de Zaragoza,Hombres,5,38.49681988881727
2017,Coahuila de Zaragoza,Hombres,5,40.18902389521825
2015,Coahuila de Zaragoza,Hombres,5,27.17306792802344
2013,Coahuila de Zaragoza,Hombres,5,33.49356463431516
2021,Coahuila de Zaragoza,Mujeres,5,43.64019096130841
2019,Coahuila de Zaragoza,Mujeres,5,36.13146137586467
2017,Coahuila de Zaragoza,Mujeres,5,33.82152538287075
2015,Coahuila de Zaragoza,Mujeres,5,30.299802046028137
2013,Coahuila de Zaragoza,Mujeres,5,37.171225905081855
2021,Colima,Total,6,29.46877860860059
2019,Colima,Total,6,37.32723870903706
2017,Colima,Total,6,33.86676048391939
2015,Colima,Total,6,35.43736702963643
2013,Colima,Total,6,42.48954855172788
2021,Colima,Hombres,6,30.52679689207717
2019,Colima,Hombres,6,38.28517248181649
2017,Colima,Hombres,6,30.324643716704056
2015,Colima,Hombres,6,37.74907257258374
2013,Colima,Hombres,6,41.5802590473516
2021,Colima,Mujeres,6,28.553668108510788
2019,Colima,Mujeres,6,36.51550283095175
2017,Colima,Mujeres,6,36.993036618911496
2015,Colima,Mujeres,6,34.456514055467785
2013,Colima,Mujeres,6,43.34027362710269
2021,Chiapas,Total,7,23.735934204407545
2019,Chiapas,Total,7,20.96263943585286
2017,Chiapas,Total,7,18.01832529305192
2015,Chiapas,Total,7,15.008849410569823
2013,Chiapas,Total,7,11.750311463184763
2021,Chiapas,Hombres,7,26.559747175633248
2019,Chiapas,Hombres,7,21.326870961017303
2017,Chiapas,Hombres,7,19.12564968399253
2015,Chiapas,Hombres,7,13.374399772116917
2013,Chiapas,Hombres,7,11.741350884876034
2021,Chiapas,Mujeres,7,20.98927989659901
2019,Chiapas,Mujeres,7,20.61195868425874
2017,Chiapas,Mujeres,7,17.039996916395754
2015,Chiapas,Mujeres,7,15.619659541302733
2013,Chiapas,Mujeres,7,11.758013933906716
2021,Chihuahua,Total,8,19.64196546095279
2019,Chihuahua,Total,8,20.551340695999432
2017,Chihuahua,Total,8,34.531006266418906
2015,Chihuahua,Total,8,23.510247741000665
2013,Chihuahua,Total,8,23.50830261888525
2021,Chihuahua,Hombres,8,20.86660482262278
2019,Chihuahua,Hombres,8,20.5697826538576
2017,Chihuahua,Hombres,8,35.181014791116965
2015,Chihuahua,Hombres,8,19.104957590019087
2013,Chihuahua,Hombres,8,22.65412515584144
2021,Chihuahua,Mujeres,8,18.47115051121701
2019,Chihuahua,Mujeres,8,20.536245272006045
2017,Chihuahua,Mujeres,8,33.88142467258874
2015,Chihuahua,Mujeres,8,25.3933767393396
2013,Chihuahua,Mujeres,8,24.2687932737108
2021,Ciudad de México,Total,9,21.17932326715253
