Year,Entidad federativa,Sexo,GeoCode,Value
2022,Baja California,Hombres,2,61.85886687000014
2021,Baja California,Hombres,2,64.06936297999988
2020,Baja California,Hombres,2,57.331923348074206
2019,Baja California,Hombres,2,61.3909174702212
2018,Baja California,Hombres,2,64.66842332902961
2017,Baja California,Hombres,2,59.20648598593627
2016,Baja California,Hombres,2,58.28993562213055
2022,Baja California,Mujeres,2,63.18370707000012
2021,Baja California,Mujeres,2,65.64898792999993
2020,Baja California,Mujeres,2,52.52455038358011
2019,Baja California,Mujeres,2,58.86398267703928
2018,Baja California,Mujeres,2,64.16828061114688
2017,Baja California,Mujeres,2,61.549230051329744
2016,Baja California,Mujeres,2,55.31441679732512
2022,Baja California Sur,Total,3,61.73655531999994
2021,Baja California Sur,Total,3,68.70594930999984
2020,Baja California Sur,Total,3,60.24178272980499
2019,Baja California Sur,Total,3,60.26039376618313
2018,Baja California Sur,Total,3,59.56120679690223
2017,Baja California Sur,Total,3,58.66051145701684
2016,Baja California Sur,Total,3,56.379382353172986
2022,Baja California Sur,Hombres,3,61.551859270000016
2021,Baja California Sur,Hombres,3,65.8962183200001
2020,Baja California Sur,Hombres,3,59.65931446293417
2019,Baja California Sur,Hombres,3,60.20220995454272
2018,Baja California Sur,Hombres,3,59.96684350132635
2017,Baja California Sur,Hombres,3,57.6190634672348
2016,Baja California Sur,Hombres,3,55.02141335152353
2022,Baja California Sur,Mujeres,3,61.95697360000011
2021,Baja California Sur,Mujeres,3,72.49004752000008
2020,Baja California Sur,Mujeres,3,60.78250220226456
2019,Baja California Sur,Mujeres,3,60.331892374533
2018,Baja California Sur,Mujeres,3,59.049511162231305
2017,Baja California Sur,Mujeres,3,59.92668182664232
2016,Baja California Sur,Mujeres,3,58.109694357577546
2022,Campeche,Total,4,61.91320489999999
2021,Campeche,Total,4,68.0207127599999
2020,Campeche,Total,4,61.58336065957767
2019,Campeche,Total,4,65.82017699862996
2018,Campeche,Total,4,65.54906705220213
2017,Campeche,Total,4,60.49677139391953
