Year,Entidad federativa,Población nacional,Población urbana,Población rural,GeoCode,Value
2020,Baja California,,Total,,2,0.809525801424087
2020,Baja California Sur,,Total,,3,0.730312000458861
2020,Campeche,,Total,,4,0.818553158637448
2020,Coahuila de Zaragoza,,Total,,5,0.822705814937103
2020,Colima,,Total,,6,0.893187909667489
2020,Chiapas,,Total,,7,0.789918578066786
2020,Chihuahua,,Total,,8,0.767861754378688
2020,Ciudad de México,,Total,,9,0.786011210134825
2020,Durango,,Total,,10,0.842383031409757
2020,Guanajuato,,Total,,11,0.890432772271975
2020,Guerrero,,Total,,12,0.785683629943556
2020,Hidalgo,,Total,,13,0.84808741013934
2020,Jalisco,,Total,,14,0.851121716797662
2020,México,,Total,,15,0.769667468200084
2020,Michoacán de Ocampo,,Total,,16,0.86588973752325
2020,Morelos,,Total,,17,0.7156234922172601
2020,Nayarit,,Total,,18,0.837602900234342
2020,Nuevo León,,Total,,19,0.863293495554244
2020,Oaxaca,,Total,,20,0.847615840375488
2020,Puebla,,Total,,21,0.8063327285108851
2020,Querétaro,,Total,,22,0.881964332527969
2020,Quintana Roo,,Total,,23,0.7994941660709879
2020,San Luis Potosí,,Total,,24,0.8782436881247909
2020,Sinaloa,,Total,,25,0.8305479759879301
2020,Sonora,,Total,,26,0.822752047686847
2020,Tabasco,,Total,,27,0.80212116543036
2020,Tamaulipas,,Total,,28,0.842065914927341
2020,Tlaxcala,,Total,,29,0.728642926997641
2020,Veracruz de Ignacio de la Llave,,Total,,30,0.818546095716412
2020,Yucatán,,Total,,31,0.86656394350669
2020,Zacatecas,,Total,,32,0.8231707518362631
2020,Estados Unidos Mexicanos,,Hombres,,0,0.818217590294947
2020,Aguascalientes,,Hombres,,1,0.871458764130697
2020,Baja California,,Hombres,,2,0.804868347467385
2020,Baja California Sur,,Hombres,,3,0.72769537748604
2020,Campeche,,Hombres,,4,0.817894535450629
2020,Coahuila de Zaragoza,,Hombres,,5,0.8225836397533411
2020,Colima,,Hombres,,6,0.894513356166467
2020,Chiapas,,Hombres,,7,0.783549155647239
2020,Chihuahua,,Hombres,,8,0.7631600703322231
2020,Ciudad de México,,Hombres,,9,0.7842374457532552
2020,Durango,,Hombres,,10,0.84050998879242
2020,Guanajuato,,Hombres,,11,0.891414525296134
2020,Guerrero,,Hombres,,12,0.780262563448404
2020,Hidalgo,,Hombres,,13,0.843607656839458
2020,Jalisco,,Hombres,,14,0.849177767361799
2020,México,,Hombres,,15,0.770658775224569
2020,Michoacán de Ocampo,,Hombres,,16,0.862613295476028
2020,Morelos,,Hombres,,17,0.7150190487412121
2020,Nayarit,,Hombres,,18,0.8384118345787389
2020,Nuevo León,,Hombres,,19,0.861556468379797
2020,Oaxaca,,Hombres,,20,0.847291147397201
2020,Puebla,,Hombres,,21,0.803189294346519
2020,Querétaro,,Hombres,,22,0.8852775566758059
2020,Quintana Roo,,Hombres,,23,0.806038197812188
2020,San Luis Potosí,,Hombres,,24,0.877984003218239
2020,Sinaloa,,Hombres,,25,0.8293973407354901
2020,Sonora,,Hombres,,26,0.825405242922606
2020,Tabasco,,Hombres,,27,0.793152850124189
2020,Tamaulipas,,Hombres,,28,0.839349620468585
2020,Tlaxcala,,Hombres,,29,0.731622818056645
2020,Veracruz de Ignacio de la Llave,,Hombres,,30,0.815649959449523
2020,Yucatán,,Hombres,,31,0.8640524877281829
