Year,Entidad federativa,"Sexo","Grupo de edad",GeoCode,Value
2009,"Baja California","Mujeres","De 5 a 14 años",02,
2007,"Baja California","Mujeres","De 5 a 14 años",02,
2019,"Baja California","Mujeres","De 15 a 17 años",02,
2017,"Baja California","Mujeres","De 15 a 17 años",02,
2015,"Baja California","Mujeres","De 15 a 17 años",02,
2013,"Baja California","Mujeres","De 15 a 17 años",02,
2011,"Baja California","Mujeres","De 15 a 17 años",02,
2009,"Baja California","Mujeres","De 15 a 17 años",02,
2007,"Baja California","Mujeres","De 15 a 17 años",02,
2019,"Baja California Sur","Total","Total",03,3.1299905845389
2017,"Baja California Sur","Total","Total",03,5.9303163966409
2015,"Baja California Sur","Total","Total",03,6.7797545166184
2013,"Baja California Sur","Total","Total",03,5.3060227469064
2011,"Baja California Sur","Total","Total",03,8.0468395298391
2009,"Baja California Sur","Total","Total",03,7.0434616850934
2007,"Baja California Sur","Total","Total",03,7.8822760497252
2019,"Baja California Sur","Total","De 5 a 14 años",03,1.5153308867053
2017,"Baja California Sur","Total","De 5 a 14 años",03,2.5526560845056
2015,"Baja California Sur","Total","De 5 a 14 años",03,3.6820142867247
2013,"Baja California Sur","Total","De 5 a 14 años",03,2.540244587259
2011,"Baja California Sur","Total","De 5 a 14 años",03,4.4751699699903
2009,"Baja California Sur","Total","De 5 a 14 años",03,3.8085871831081
2007,"Baja California Sur","Total","De 5 a 14 años",03,3.0522016248485
2019,"Baja California Sur","Total","De 15 a 17 años",03,9.2383867034908
2017,"Baja California Sur","Total","De 15 a 17 años",03,15.840407116190798
2015,"Baja California Sur","Total","De 15 a 17 años",03,17.7610630562868
2013,"Baja California Sur","Total","De 15 a 17 años",03,14.2539930862204
2011,"Baja California Sur","Total","De 15 a 17 años",03,18.4185909113288
2009,"Baja California Sur","Total","De 15 a 17 años",03,17.0623763407269
2007,"Baja California Sur","Total","De 15 a 17 años",03,21.8397364393369
2019,"Baja California Sur","Hombres","Total",03,
2017,"Baja California Sur","Hombres","Total",03,
2015,"Baja California Sur","Hombres","Total",03,
2013,"Baja California Sur","Hombres","Total",03,
2011,"Baja California Sur","Hombres","Total",03,
2009,"Baja California Sur","Hombres","Total",03,
2007,"Baja California Sur","Hombres","Total",03,
2019,"Baja California Sur","Hombres","De 5 a 14 años",03,
2017,"Baja California Sur","Hombres","De 5 a 14 años",03,
2015,"Baja California Sur","Hombres","De 5 a 14 años",03,
2013,"Baja California Sur","Hombres","De 5 a 14 años",03,
2011,"Baja California Sur","Hombres","De 5 a 14 años",03,
2009,"Baja California Sur","Hombres","De 5 a 14 años",03,
