Year,Entidad federativa,Municipio,GeoCode,Value
2010,"Colima","Ixtlahuacán",06006,59.5229915906
2020,"Colima","Manzanillo",06007,32.8452410765
2018,"Colima","Manzanillo",06007,
2016,"Colima","Manzanillo",06007,
2015,"Colima","Manzanillo",06007,35.3571492995
2010,"Colima","Manzanillo",06007,34.6012630348
2020,"Colima","Minatitlán",06008,32.685214956
2018,"Colima","Minatitlán",06008,
2016,"Colima","Minatitlán",06008,
2015,"Colima","Minatitlán",06008,56.611818519
2010,"Colima","Minatitlán",06008,64.2312593703
2020,"Colima","Tecomán",06009,42.6696670214
2018,"Colima","Tecomán",06009,
2016,"Colima","Tecomán",06009,
2015,"Colima","Tecomán",06009,55.1108301536
2010,"Colima","Tecomán",06009,47.7735606294
2020,"Colima","Villa de Álvarez",06010,26.4431194417
2018,"Colima","Villa de Álvarez",06010,
2016,"Colima","Villa de Álvarez",06010,
2015,"Colima","Villa de Álvarez",06010,32.1480089252
2010,"Colima","Villa de Álvarez",06010,31.1102545446
2020,"Chiapas",,07,78.7739416698
2018,"Chiapas",,07,80.96086822
2016,"Chiapas",,07,81.5216625558788
2015,"Chiapas",,07,
2010,"Chiapas",,07,
2020,"Chiapas","Acacoyagua",07001,78.0095730553
2018,"Chiapas","Acacoyagua",07001,
2016,"Chiapas","Acacoyagua",07001,
2015,"Chiapas","Acacoyagua",07001,79.651133737
2010,"Chiapas","Acacoyagua",07001,91.2590203614
2020,"Chiapas","Acala",07002,81.1738473224
2018,"Chiapas","Acala",07002,
2016,"Chiapas","Acala",07002,
2015,"Chiapas","Acala",07002,77.7851660398
2010,"Chiapas","Acala",07002,88.7779061103
2020,"Chiapas","Acapetahua",07003,59.2266219234
2018,"Chiapas","Acapetahua",07003,
2016,"Chiapas","Acapetahua",07003,
2015,"Chiapas","Acapetahua",07003,74.9882421367
2010,"Chiapas","Acapetahua",07003,82.451950526
2020,"Chiapas","Altamirano",07004,96.9438221254
2018,"Chiapas","Altamirano",07004,
2016,"Chiapas","Altamirano",07004,
2015,"Chiapas","Altamirano",07004,96.1856916703
2010,"Chiapas","Altamirano",07004,90.326679815
2020,"Chiapas","Amatán",07005,90.6619846031
2018,"Chiapas","Amatán",07005,
2016,"Chiapas","Amatán",07005,
