Year,Entidad federativa,Municipio,"Edades de 15 a 24 años","Sexo",GeoCode,Value
2020,"Estados Unidos Mexicanos",,"20-24 años","Hombres",00,9.280359682
2019,"Estados Unidos Mexicanos",,"20-24 años","Hombres",00,6.014755771
2018,"Estados Unidos Mexicanos",,"20-24 años","Hombres",00,5.584884818
2017,"Estados Unidos Mexicanos",,"20-24 años","Hombres",00,5.230801265
2022,"Estados Unidos Mexicanos",,"20-24 años","Mujeres",00,11.39808504
2021,"Estados Unidos Mexicanos",,"20-24 años","Mujeres",00,13.02861364
2020,"Estados Unidos Mexicanos",,"20-24 años","Mujeres",00,14.28502694
2019,"Estados Unidos Mexicanos",,"20-24 años","Mujeres",00,12.85172373
2018,"Estados Unidos Mexicanos",,"20-24 años","Mujeres",00,12.03104938
2017,"Estados Unidos Mexicanos",,"20-24 años","Mujeres",00,12.82666108
2022,"Aguascalientes",,"15-24 años","Total",01,7.295299051
2021,"Aguascalientes",,"15-24 años","Total",01,7.689977108
2020,"Aguascalientes",,"15-24 años","Total",01,8.687248005
2019,"Aguascalientes",,"15-24 años","Total",01,7.425091715
2018,"Aguascalientes",,"15-24 años","Total",01,6.555637067
2017,"Aguascalientes",,"15-24 años","Total",01,6.132262658
2022,"Aguascalientes",,"15-24 años","Hombres",01,6.64145279
2021,"Aguascalientes",,"15-24 años","Hombres",01,7.424251287
2020,"Aguascalientes",,"15-24 años","Hombres",01,8.022916503
2019,"Aguascalientes",,"15-24 años","Hombres",01,6.608875878
2018,"Aguascalientes",,"15-24 años","Hombres",01,6.12912574
2017,"Aguascalientes",,"15-24 años","Hombres",01,5.715024162
2022,"Aguascalientes",,"15-24 años","Mujeres",01,7.949630763
2021,"Aguascalientes",,"15-24 años","Mujeres",01,7.968295298
2020,"Aguascalientes",,"15-24 años","Mujeres",01,9.398510598
2019,"Aguascalientes",,"15-24 años","Mujeres",01,8.216796044
2018,"Aguascalientes",,"15-24 años","Mujeres",01,7.002557136
2017,"Aguascalientes",,"15-24 años","Mujeres",01,6.544107984
2022,"Aguascalientes",,"15-19 años","Total",01,5.405637185
2021,"Aguascalientes",,"15-19 años","Total",01,5.672907255
2020,"Aguascalientes",,"15-19 años","Total",01,6.666199797
2019,"Aguascalientes",,"15-19 años","Total",01,6.218786345
2018,"Aguascalientes",,"15-19 años","Total",01,5.589060511
2017,"Aguascalientes",,"15-19 años","Total",01,4.603245803
2022,"Aguascalientes",,"15-19 años","Hombres",01,5.786358512
2021,"Aguascalientes",,"15-19 años","Hombres",01,6.12689584
2020,"Aguascalientes",,"15-19 años","Hombres",01,7.219416537
2019,"Aguascalientes",,"15-19 años","Hombres",01,6.306862624
2018,"Aguascalientes",,"15-19 años","Hombres",01,5.747126437
2017,"Aguascalientes",,"15-19 años","Hombres",01,5.205045024
2022,"Aguascalientes",,"15-19 años","Mujeres",01,5.013919499
2021,"Aguascalientes",,"15-19 años","Mujeres",01,5.198964397
2020,"Aguascalientes",,"15-19 años","Mujeres",01,6.063532476
2019,"Aguascalientes",,"15-19 años","Mujeres",01,6.132583871
2018,"Aguascalientes",,"15-19 años","Mujeres",01,5.424399463
2017,"Aguascalientes",,"15-19 años","Mujeres",01,3.988104089
2022,"Aguascalientes",,"20-24 años","Total",01,9.300175089
2021,"Aguascalientes",,"20-24 años","Total",01,9.796664347
2020,"Aguascalientes",,"20-24 años","Total",01,10.93676925
2019,"Aguascalientes",,"20-24 años","Total",01,8.866544043
2018,"Aguascalientes",,"20-24 años","Total",01,7.688591287
2017,"Aguascalientes",,"20-24 años","Total",01,7.850102856
2022,"Aguascalientes",,"20-24 años","Hombres",01,7.574217788
2021,"Aguascalientes",,"20-24 años","Hombres",01,8.77480973
2020,"Aguascalientes",,"20-24 años","Hombres",01,8.934713133
2019,"Aguascalientes",,"20-24 años","Hombres",01,6.981526429
2018,"Aguascalientes",,"20-24 años","Hombres",01,6.574103119
2017,"Aguascalientes",,"20-24 años","Hombres",01,6.309806583
2022,"Aguascalientes",,"20-24 años","Mujeres",01,10.97195062
2021,"Aguascalientes",,"20-24 años","Mujeres",01,10.87062219
2020,"Aguascalientes",,"20-24 años","Mujeres",01,13.04049088
2019,"Aguascalientes",,"20-24 años","Mujeres",01,10.64336397
2018,"Aguascalientes",,"20-24 años","Mujeres",01,8.86446376
2017,"Aguascalientes",,"20-24 años","Mujeres",01,9.311949503
2022,"Aguascalientes","Aguascalientes","15-24 años","Total",010010001,6.852296065
2021,"Aguascalientes","Aguascalientes","15-24 años","Total",010010001,7.321608297
2020,"Aguascalientes","Aguascalientes","15-24 años","Total",010010001,8.670591053
2019,"Aguascalientes","Aguascalientes","15-24 años","Total",010010001,7.094551058
2018,"Aguascalientes","Aguascalientes","15-24 años","Total",010010001,6.275810433
2017,"Aguascalientes","Aguascalientes","15-24 años","Total",010010001,5.561053074
2022,"Aguascalientes","Aguascalientes","15-24 años","Hombres",010010001,5.560455017
2021,"Aguascalientes","Aguascalientes","15-24 años","Hombres",010010001,6.848168677
2020,"Aguascalientes","Aguascalientes","15-24 años","Hombres",010010001,8.410973919
2019,"Aguascalientes","Aguascalientes","15-24 años","Hombres",010010001,6.318788631
2018,"Aguascalientes","Aguascalientes","15-24 años","Hombres",010010001,5.708176828
2017,"Aguascalientes","Aguascalientes","15-24 años","Hombres",010010001,5.092234224
2022,"Aguascalientes","Aguascalientes","15-24 años","Mujeres",010010001,8.136695598
2021,"Aguascalientes","Aguascalientes","15-24 años","Mujeres",010010001,7.841102882
2020,"Aguascalientes","Aguascalientes","15-24 años","Mujeres",010010001,8.94987515
2019,"Aguascalientes","Aguascalientes","15-24 años","Mujeres",010010001,7.833058086
2018,"Aguascalientes","Aguascalientes","15-24 años","Mujeres",010010001,6.857427103
2017,"Aguascalientes","Aguascalientes","15-24 años","Mujeres",010010001,6.025332579
2022,"Aguascalientes","Aguascalientes","15-19 años","Total",010010001,4.754444372
2021,"Aguascalientes","Aguascalientes","15-19 años","Total",010010001,5.598068689
2020,"Aguascalientes","Aguascalientes","15-19 años","Total",010010001,6.689549962
2019,"Aguascalientes","Aguascalientes","15-19 años","Total",010010001,6.317742092
2018,"Aguascalientes","Aguascalientes","15-19 años","Total",010010001,5.206762087
2017,"Aguascalientes","Aguascalientes","15-19 años","Total",010010001,4.051417422
2022,"Aguascalientes","Aguascalientes","15-19 años","Hombres",010010001,4.625185444
2021,"Aguascalientes","Aguascalientes","15-19 años","Hombres",010010001,5.567414123
2020,"Aguascalientes","Aguascalientes","15-19 años","Hombres",010010001,7.973937325
2019,"Aguascalientes","Aguascalientes","15-19 años","Hombres",010010001,6.492634315
2018,"Aguascalientes","Aguascalientes","15-19 años","Hombres",010010001,5.198585054
