Year,Entidad federativa,"Violencia sexual","Lugar de la(s) agresión(es)",GeoCode,Value
2011,"Quintana Roo","Sin incidentes",,23,84.4979480707891
2021,"San Luis Potosí","Sin incidentes",,24,79.5548629292309
2016,"San Luis Potosí","Sin incidentes",,24,82.3325555827376
2011,"San Luis Potosí","Sin incidentes",,24,84.6364715490976
2021,"Sinaloa","Sin incidentes",,25,82.8706084980976
2016,"Sinaloa","Sin incidentes",,25,83.861200515459
2011,"Sinaloa","Sin incidentes",,25,88.67625528000129
2021,"Sonora","Sin incidentes",,26,79.0255459486509
2016,"Sonora","Sin incidentes",,26,81.5760531249376
2011,"Sonora","Sin incidentes",,26,85.2238124625725
2021,"Tabasco","Sin incidentes",,27,79.3278476488708
2016,"Tabasco","Sin incidentes",,27,83.6713778312251
2011,"Tabasco","Sin incidentes",,27,84.6634052753087
2021,"Tamaulipas","Sin incidentes",,28,82.2431826981381
2016,"Tamaulipas","Sin incidentes",,28,80.0617912827782
2011,"Tamaulipas","Sin incidentes",,28,87.842158044962
2021,"Tlaxcala","Sin incidentes",,29,78.2146461273615
2016,"Tlaxcala","Sin incidentes",,29,81.6417066910831
2011,"Tlaxcala","Sin incidentes",,29,86.206139096411
2021,"Veracruz de Ignacio de la Llave","Sin incidentes",,30,79.1761625991062
2016,"Veracruz de Ignacio de la Llave","Sin incidentes",,30,81.7835031512904
2011,"Veracruz de Ignacio de la Llave","Sin incidentes",,30,86.16370975601
2021,"Yucatán","Sin incidentes",,31,75.8389065169636
2016,"Yucatán","Sin incidentes",,31,78.1376283447559
2011,"Yucatán","Sin incidentes",,31,86.56662085556839
2021,"Zacatecas","Sin incidentes",,32,81.112354342162
2016,"Zacatecas","Sin incidentes",,32,84.9885904743175
2011,"Zacatecas","Sin incidentes",,32,86.5676488051061
2021,"Estados Unidos Mexicanos","No especificado",,00,0.252710280048268
2016,"Estados Unidos Mexicanos","No especificado",,00,0.0061417056652074
2011,"Estados Unidos Mexicanos","No especificado",,00,0.349601827048508
2021,"Aguascalientes","No especificado",,01,0.332160897970167
2016,"Aguascalientes","No especificado",,01,0
2011,"Aguascalientes","No especificado",,01,0.148762324266128
2021,"Baja California","No especificado",,02,0.181850195247119
2016,"Baja California","No especificado",,02,0
2011,"Baja California","No especificado",,02,0.414612571106515
2021,"Baja California Sur","No especificado",,03,0.125788181686909
2016,"Baja California Sur","No especificado",,03,0
2011,"Baja California Sur","No especificado",,03,0.506634599093347
2021,"Campeche","No especificado",,04,0.511414620182436
2016,"Campeche","No especificado",,04,0
2011,"Campeche","No especificado",,04,0.490300227172439
2021,"Coahuila de Zaragoza","No especificado",,05,0.313776292801454
2016,"Coahuila de Zaragoza","No especificado",,05,0
2011,"Coahuila de Zaragoza","No especificado",,05,0.176830261480556
2021,"Colima","No especificado",,06,0.119962250106338
2016,"Colima","No especificado",,06,0
2011,"Colima","No especificado",,06,0.568339670267739
2021,"Chiapas","No especificado",,07,0.277841076270645
2016,"Chiapas","No especificado",,07,0.0563537356821412
2011,"Chiapas","No especificado",,07,0.103017440953926
2021,"Chihuahua","No especificado",,08,0.0945255593841322
2016,"Chihuahua","No especificado",,08,0
2011,"Chihuahua","No especificado",,08,1.51442242915821
2021,"Ciudad de México","No especificado",,09,0.0570466472274593
2016,"Ciudad de México","No especificado",,09,0
2011,"Ciudad de México","No especificado",,09,0.0529155303923795
2021,"Durango","No especificado",,10,0.534908173379676
2016,"Durango","No especificado",,10,0
2011,"Durango","No especificado",,10,0.231716716495579
2021,"Guanajuato","No especificado",,11,0.206504124159022
2016,"Guanajuato","No especificado",,11,0.0193001098970964
2011,"Guanajuato","No especificado",,11,0.313161471229175
2021,"Guerrero","No especificado",,12,0.857804364909846
2016,"Guerrero","No especificado",,12,0
2011,"Guerrero","No especificado",,12,0.624507929828945
2021,"Hidalgo","No especificado",,13,0.141762307308197
2016,"Hidalgo","No especificado",,13,0.025046335721084
2011,"Hidalgo","No especificado",,13,0.161487018095987
2021,"Jalisco","No especificado",,14,0.174567517893478
2016,"Jalisco","No especificado",,14,0
2011,"Jalisco","No especificado",,14,0.24081475779565
2021,"México","No especificado",,15,0.188939762483903
2016,"México","No especificado",,15,0
2011,"México","No especificado",,15,0.0672464968521771
2021,"Michoacán de Ocampo","No especificado",,16,0.302252296648888
2016,"Michoacán de Ocampo","No especificado",,16,0.0410241153230882
2011,"Michoacán de Ocampo","No especificado",,16,0.235011670227075
2021,"Morelos","No especificado",,17,0.249276490187018
2016,"Morelos","No especificado",,17,0
2011,"Morelos","No especificado",,17,0.374425547810928
2021,"Nayarit","No especificado",,18,0.273768306671201
2016,"Nayarit","No especificado",,18,0
2011,"Nayarit","No especificado",,18,0.407157973876471
2021,"Nuevo León","No especificado",,19,0.17344658399704302
2016,"Nuevo León","No especificado",,19,0
2011,"Nuevo León","No especificado",,19,0.250528975315231
2021,"Oaxaca","No especificado",,20,0.410806412081391
2016,"Oaxaca","No especificado",,20,0.0178368993919599
2011,"Oaxaca","No especificado",,20,0.306364426376799
2021,"Puebla","No especificado",,21,0.142556172834344
2016,"Puebla","No especificado",,21,0
2011,"Puebla","No especificado",,21,0.769671424912093
2021,"Querétaro","No especificado",,22,0.483105880097642
2016,"Querétaro","No especificado",,22,0
2011,"Querétaro","No especificado",,22,0.463615797429316
2021,"Quintana Roo","No especificado",,23,0.3020753800236
2016,"Quintana Roo","No especificado",,23,0
2011,"Quintana Roo","No especificado",,23,0.889136202390771
2021,"San Luis Potosí","No especificado",,24,0.172231391340398
2016,"San Luis Potosí","No especificado",,24,0
2011,"San Luis Potosí","No especificado",,24,0.9000520487241891
2021,"Sinaloa","No especificado",,25,0.0568807247224237
2016,"Sinaloa","No especificado",,25,0
2011,"Sinaloa","No especificado",,25,0.617238935604084
2021,"Sonora","No especificado",,26,0.188875297126732
2016,"Sonora","No especificado",,26,0
2011,"Sonora","No especificado",,26,0
2021,"Tabasco","No especificado",,27,0.547362957164009
2016,"Tabasco","No especificado",,27,0
2011,"Tabasco","No especificado",,27,0.455474402412187
2021,"Tamaulipas","No especificado",,28,0.248242725579672
2016,"Tamaulipas","No especificado",,28,0
2011,"Tamaulipas","No especificado",,28,0.457252828901692
2021,"Tlaxcala","No especificado",,29,0.262677529940786
2016,"Tlaxcala","No especificado",,29,0
2011,"Tlaxcala","No especificado",,29,0.407518848604803
2021,"Veracruz de Ignacio de la Llave","No especificado",,30,0.434910941997503
2016,"Veracruz de Ignacio de la Llave","No especificado",,30,0
2011,"Veracruz de Ignacio de la Llave","No especificado",,30,0.544707565895767
2021,"Yucatán","No especificado",,31,0.342255851164809
2016,"Yucatán","No especificado",,31,0.0154635874798097
2011,"Yucatán","No especificado",,31,0.368115475622077
2021,"Zacatecas","No especificado",,32,0.517574846949377
2016,"Zacatecas","No especificado",,32,0
2011,"Zacatecas","No especificado",,32,0.012616891791598603
2021,"Estados Unidos Mexicanos",,"Calle o parque",00,77.1978959911071
2016,"Estados Unidos Mexicanos",,"Calle o parque",00,78.3016915265988
2011,"Estados Unidos Mexicanos",,"Calle o parque",00,90.2576567036029
2021,"Aguascalientes",,"Calle o parque",01,79.4671966567067
2016,"Aguascalientes",,"Calle o parque",01,78.3271547729379
2011,"Aguascalientes",,"Calle o parque",01,90.6771840671496
2021,"Baja California",,"Calle o parque",02,72.9949535581072
2016,"Baja California",,"Calle o parque",02,76.7159597697101
2011,"Baja California",,"Calle o parque",02,92.2940503432494
2021,"Baja California Sur",,"Calle o parque",03,75.1560398373861
2016,"Baja California Sur",,"Calle o parque",03,71.8330351818724
2011,"Baja California Sur",,"Calle o parque",03,75.8380351808828
2021,"Campeche",,"Calle o parque",04,76.9159460394327
2016,"Campeche",,"Calle o parque",04,78.1325036355643
2011,"Campeche",,"Calle o parque",04,87.99257968407441
2021,"Coahuila de Zaragoza",,"Calle o parque",05,78.5804778589386
2016,"Coahuila de Zaragoza",,"Calle o parque",05,79.0072641228448
2011,"Coahuila de Zaragoza",,"Calle o parque",05,94.586043992846
2021,"Colima",,"Calle o parque",06,77.2891852073813
2016,"Colima",,"Calle o parque",06,75.6684692804567
2011,"Colima",,"Calle o parque",06,88.8455172073029
2021,"Chiapas",,"Calle o parque",07,78.0979078881353
2016,"Chiapas",,"Calle o parque",07,78.4452423698384
2011,"Chiapas",,"Calle o parque",07,87.85233824471489
2021,"Chihuahua",,"Calle o parque",08,69.5842853095254
2016,"Chihuahua",,"Calle o parque",08,77.0419227801283
2011,"Chihuahua",,"Calle o parque",08,90.79216920593142
2021,"Ciudad de México",,"Calle o parque",09,77.9605605884305
2016,"Ciudad de México",,"Calle o parque",09,77.9547827339165
2011,"Ciudad de México",,"Calle o parque",09,89.335513070101
2021,"Durango",,"Calle o parque",10,76.8209523440176
2016,"Durango",,"Calle o parque",10,80.8743169398907
2011,"Durango",,"Calle o parque",10,89.9150902961993
2021,"Guanajuato",,"Calle o parque",11,78.6063304850163
2016,"Guanajuato",,"Calle o parque",11,80.2855694909109
2011,"Guanajuato",,"Calle o parque",11,93.2517588549248
2021,"Guerrero",,"Calle o parque",12,77.5873048520495
2016,"Guerrero",,"Calle o parque",12,69.4375017090979
2011,"Guerrero",,"Calle o parque",12,91.4160996492763
2021,"Hidalgo",,"Calle o parque",13,75.6768381855944
2016,"Hidalgo",,"Calle o parque",13,76.3735458011536
2011,"Hidalgo",,"Calle o parque",13,87.9367937267537
2021,"Jalisco",,"Calle o parque",14,79.0906067258093
2016,"Jalisco",,"Calle o parque",14,80.4963688017531
2011,"Jalisco",,"Calle o parque",14,94.0636483449875
2021,"México",,"Calle o parque",15,77.7164826715
2016,"México",,"Calle o parque",15,78.0594431709893
2011,"México",,"Calle o parque",15,88.4663053821795
2021,"Michoacán de Ocampo",,"Calle o parque",16,76.3125891247612
2016,"Michoacán de Ocampo",,"Calle o parque",16,79.8867521877418
2011,"Michoacán de Ocampo",,"Calle o parque",16,90.1027374177956
2021,"Morelos",,"Calle o parque",17,78.0838239416877
2016,"Morelos",,"Calle o parque",17,78.6157580610853
2011,"Morelos",,"Calle o parque",17,91.37679152861192
2021,"Nayarit",,"Calle o parque",18,78.2104653001001
2016,"Nayarit",,"Calle o parque",18,77.3323011313477
2011,"Nayarit",,"Calle o parque",18,86.8868626399294
2021,"Nuevo León",,"Calle o parque",19,74.4027769754704
2016,"Nuevo León",,"Calle o parque",19,84.2209231059356
2011,"Nuevo León",,"Calle o parque",19,91.3295264165378
2021,"Oaxaca",,"Calle o parque",20,77.9907491495682
2016,"Oaxaca",,"Calle o parque",20,76.8823263067867
2011,"Oaxaca",,"Calle o parque",20,89.1314662550526
2021,"Puebla",,"Calle o parque",21,79.1866707082164
2016,"Puebla",,"Calle o parque",21,78.884058120682
2011,"Puebla",,"Calle o parque",21,91.9209858767518
2021,"Querétaro",,"Calle o parque",22,83.9815306758198
2016,"Querétaro",,"Calle o parque",22,85.6659410528082
2011,"Querétaro",,"Calle o parque",22,91.7253074988792
2021,"Quintana Roo",,"Calle o parque",23,75.7572698436313
2016,"Quintana Roo",,"Calle o parque",23,80.9866227733683
2011,"Quintana Roo",,"Calle o parque",23,92.15830273357808
2021,"San Luis Potosí",,"Calle o parque",24,80.533950150241
2016,"San Luis Potosí",,"Calle o parque",24,80.366476386464
2011,"San Luis Potosí",,"Calle o parque",24,89.68344842791
2021,"Sinaloa",,"Calle o parque",25,73.011643825534
2016,"Sinaloa",,"Calle o parque",25,72.8154339859928
2011,"Sinaloa",,"Calle o parque",25,85.0685924360575
2021,"Sonora",,"Calle o parque",26,69.9841586310382
