Year,Entidad federativa,"Jóvenes de 15 a 24 años","Jóvenes de 15 a 19 años","Jóvenes de 20 a 24 años",GeoCode,Value
2021,"Jalisco","En áreas más urbanizadas",,,14,4.71220179
2020,"Jalisco","En áreas más urbanizadas",,,14,5.863552424
2019,"Jalisco","En áreas más urbanizadas",,,14,5.477378339
2018,"Jalisco","En áreas más urbanizadas",,,14,4.982714616
2017,"Jalisco","En áreas más urbanizadas",,,14,4.902104403
2022,"México","En áreas más urbanizadas",,,15,7.042553706
2021,"México","En áreas más urbanizadas",,,15,8.216402815
2020,"México","En áreas más urbanizadas",,,15,9.820528168
2019,"México","En áreas más urbanizadas",,,15,6.292167282
2018,"México","En áreas más urbanizadas",,,15,6.036703875
2017,"México","En áreas más urbanizadas",,,15,5.969069245
2022,"Michoacán de Ocampo","En áreas más urbanizadas",,,16,4.86405623
2021,"Michoacán de Ocampo","En áreas más urbanizadas",,,16,6.118350337
2020,"Michoacán de Ocampo","En áreas más urbanizadas",,,16,6.537453015
2019,"Michoacán de Ocampo","En áreas más urbanizadas",,,16,5.07931935
2018,"Michoacán de Ocampo","En áreas más urbanizadas",,,16,4.51997492
2017,"Michoacán de Ocampo","En áreas más urbanizadas",,,16,6.016783988
2022,"Morelos","En áreas más urbanizadas",,,17,5.102289214
2021,"Morelos","En áreas más urbanizadas",,,17,6.854611284
2020,"Morelos","En áreas más urbanizadas",,,17,6.310295309
2019,"Morelos","En áreas más urbanizadas",,,17,5.194908162
2018,"Morelos","En áreas más urbanizadas",,,17,4.68006209
2017,"Morelos","En áreas más urbanizadas",,,17,4.705005698
2022,"Nayarit","En áreas más urbanizadas",,,18,4.050452166
2021,"Nayarit","En áreas más urbanizadas",,,18,5.31197958
2020,"Nayarit","En áreas más urbanizadas",,,18,6.569851065
2019,"Nayarit","En áreas más urbanizadas",,,18,5.316597627
2018,"Nayarit","En áreas más urbanizadas",,,18,6.260877746
2017,"Nayarit","En áreas más urbanizadas",,,18,5.217324053
2022,"Nuevo León","En áreas más urbanizadas",,,19,6.523747972
2021,"Nuevo León","En áreas más urbanizadas",,,19,8.162099817
2020,"Nuevo León","En áreas más urbanizadas",,,19,10.1252401
2019,"Nuevo León","En áreas más urbanizadas",,,19,5.944341841
2018,"Nuevo León","En áreas más urbanizadas",,,19,6.134295479
2017,"Nuevo León","En áreas más urbanizadas",,,19,7.203324055
2022,"Oaxaca","En áreas más urbanizadas",,,20,5.370348534
2021,"Oaxaca","En áreas más urbanizadas",,,20,6.756458379
2020,"Oaxaca","En áreas más urbanizadas",,,20,8.579203176
2019,"Oaxaca","En áreas más urbanizadas",,,20,6.371547234
2018,"Oaxaca","En áreas más urbanizadas",,,20,6.065831771
2017,"Oaxaca","En áreas más urbanizadas",,,20,5.384561206
2022,"Puebla","En áreas más urbanizadas",,,21,6.334598431
2021,"Puebla","En áreas más urbanizadas",,,21,7.72574208
2020,"Puebla","En áreas más urbanizadas",,,21,9.546274729
2019,"Puebla","En áreas más urbanizadas",,,21,5.961954621
2018,"Puebla","En áreas más urbanizadas",,,21,6.044603592
2017,"Puebla","En áreas más urbanizadas",,,21,6.457279064
2022,"Querétaro","En áreas más urbanizadas",,,22,4.930510529
2021,"Querétaro","En áreas más urbanizadas",,,22,6.870804095
2020,"Querétaro","En áreas más urbanizadas",,,22,6.287818349
2019,"Querétaro","En áreas más urbanizadas",,,22,3.917245758
2018,"Querétaro","En áreas más urbanizadas",,,22,5.270228682
2017,"Querétaro","En áreas más urbanizadas",,,22,4.91735756
2022,"Quintana Roo","En áreas más urbanizadas",,,23,6.205698728
2021,"Quintana Roo","En áreas más urbanizadas",,,23,8.011606063
2020,"Quintana Roo","En áreas más urbanizadas",,,23,11.11626837
2019,"Quintana Roo","En áreas más urbanizadas",,,23,6.527711491
2018,"Quintana Roo","En áreas más urbanizadas",,,23,6.550334489
2017,"Quintana Roo","En áreas más urbanizadas",,,23,6.92254656
2022,"San Luis Potosí","En áreas más urbanizadas",,,24,6.275756141
2021,"San Luis Potosí","En áreas más urbanizadas",,,24,5.961666801
2020,"San Luis Potosí","En áreas más urbanizadas",,,24,6.901278568
2019,"San Luis Potosí","En áreas más urbanizadas",,,24,5.343423352
2018,"San Luis Potosí","En áreas más urbanizadas",,,24,5.886888214
2017,"San Luis Potosí","En áreas más urbanizadas",,,24,5.600632707
2022,"Sinaloa","En áreas más urbanizadas",,,25,5.529970143
2021,"Sinaloa","En áreas más urbanizadas",,,25,5.451123904
2020,"Sinaloa","En áreas más urbanizadas",,,25,6.054343666
2019,"Sinaloa","En áreas más urbanizadas",,,25,5.82998338
2018,"Sinaloa","En áreas más urbanizadas",,,25,5.17709497
2017,"Sinaloa","En áreas más urbanizadas",,,25,5.362062393
2022,"Sonora","En áreas más urbanizadas",,,26,5.591455753
2021,"Sonora","En áreas más urbanizadas",,,26,6.396330796
2020,"Sonora","En áreas más urbanizadas",,,26,7.359605295
