Year,Entidad federativa,"Jóvenes de 15 a 24 años","Jóvenes de 15 a 19 años","Jóvenes de 20 a 24 años",GeoCode,Value
2019,"Oaxaca","Con Secundaria completa",,,20,7.560192044
2018,"Oaxaca","Con Secundaria completa",,,20,7.025366436
2017,"Oaxaca","Con Secundaria completa",,,20,6.893293158
2022,"Puebla","Con Secundaria completa",,,21,5.930258036
2021,"Puebla","Con Secundaria completa",,,21,8.863414634
2020,"Puebla","Con Secundaria completa",,,21,7.941807044
2019,"Puebla","Con Secundaria completa",,,21,6.937535819
2018,"Puebla","Con Secundaria completa",,,21,7.467128232
2017,"Puebla","Con Secundaria completa",,,21,6.984957596
2022,"Querétaro","Con Secundaria completa",,,22,7.886226586
2021,"Querétaro","Con Secundaria completa",,,22,8.595676541
2020,"Querétaro","Con Secundaria completa",,,22,8.076642726
2019,"Querétaro","Con Secundaria completa",,,22,5.420705624
2018,"Querétaro","Con Secundaria completa",,,22,5.981606866
2017,"Querétaro","Con Secundaria completa",,,22,5.878172848
2022,"Quintana Roo","Con Secundaria completa",,,23,5.130753287
2021,"Quintana Roo","Con Secundaria completa",,,23,7.760868501
2020,"Quintana Roo","Con Secundaria completa",,,23,9.529572978
2019,"Quintana Roo","Con Secundaria completa",,,23,6.806788457
2018,"Quintana Roo","Con Secundaria completa",,,23,6.717648013
2017,"Quintana Roo","Con Secundaria completa",,,23,7.169496057
2022,"San Luis Potosí","Con Secundaria completa",,,24,9.339657981
2021,"San Luis Potosí","Con Secundaria completa",,,24,9.758509816
2020,"San Luis Potosí","Con Secundaria completa",,,24,10.26584978
2019,"San Luis Potosí","Con Secundaria completa",,,24,8.560846482
2018,"San Luis Potosí","Con Secundaria completa",,,24,8.915267885
2017,"San Luis Potosí","Con Secundaria completa",,,24,9.665157846
2022,"Sinaloa","Con Secundaria completa",,,25,6.339638329
2021,"Sinaloa","Con Secundaria completa",,,25,6.595494841
2020,"Sinaloa","Con Secundaria completa",,,25,8.558350388
2019,"Sinaloa","Con Secundaria completa",,,25,5.89467571
2018,"Sinaloa","Con Secundaria completa",,,25,5.753934676
2017,"Sinaloa","Con Secundaria completa",,,25,6.86566621
2022,"Sonora","Con Secundaria completa",,,26,6.602484446
2021,"Sonora","Con Secundaria completa",,,26,7.216996722
2020,"Sonora","Con Secundaria completa",,,26,8.491434219
2019,"Sonora","Con Secundaria completa",,,26,9.211850367
2018,"Sonora","Con Secundaria completa",,,26,7.085205054
2017,"Sonora","Con Secundaria completa",,,26,7.509052134
2022,"Tabasco","Con Secundaria completa",,,27,9.070398643
2021,"Tabasco","Con Secundaria completa",,,27,7.345567589
2020,"Tabasco","Con Secundaria completa",,,27,8.223562798
2019,"Tabasco","Con Secundaria completa",,,27,10.1186993
2018,"Tabasco","Con Secundaria completa",,,27,8.818041652
2017,"Tabasco","Con Secundaria completa",,,27,8.305377995
2022,"Tamaulipas","Con Secundaria completa",,,28,6.78000209
2021,"Tamaulipas","Con Secundaria completa",,,28,7.080685143
2020,"Tamaulipas","Con Secundaria completa",,,28,8.149297988
2019,"Tamaulipas","Con Secundaria completa",,,28,8.422759852
2018,"Tamaulipas","Con Secundaria completa",,,28,8.275876959
2017,"Tamaulipas","Con Secundaria completa",,,28,7.020630322
2022,"Tlaxcala","Con Secundaria completa",,,29,8.897207536
2021,"Tlaxcala","Con Secundaria completa",,,29,10.05693609
2020,"Tlaxcala","Con Secundaria completa",,,29,9.355939023
2019,"Tlaxcala","Con Secundaria completa",,,29,8.125179194
2018,"Tlaxcala","Con Secundaria completa",,,29,7.32017136
2017,"Tlaxcala","Con Secundaria completa",,,29,7.21462229
2022,"Veracruz de Ignacio de la Llave","Con Secundaria completa",,,30,8.0508173
2021,"Veracruz de Ignacio de la Llave","Con Secundaria completa",,,30,9.693877551
2020,"Veracruz de Ignacio de la Llave","Con Secundaria completa",,,30,8.973832565
2019,"Veracruz de Ignacio de la Llave","Con Secundaria completa",,,30,7.637018572
2018,"Veracruz de Ignacio de la Llave","Con Secundaria completa",,,30,9.296018617
2017,"Veracruz de Ignacio de la Llave","Con Secundaria completa",,,30,8.766219341
2022,"Yucatán","Con Secundaria completa",,,31,5.212123865
2021,"Yucatán","Con Secundaria completa",,,31,5.617213379
2020,"Yucatán","Con Secundaria completa",,,31,6.873708026
2019,"Yucatán","Con Secundaria completa",,,31,4.959851006
2018,"Yucatán","Con Secundaria completa",,,31,4.569079833
2017,"Yucatán","Con Secundaria completa",,,31,5.77899756
2022,"Zacatecas","Con Secundaria completa",,,32,9.995099691
2021,"Zacatecas","Con Secundaria completa",,,32,8.971711511
2020,"Zacatecas","Con Secundaria completa",,,32,8.76782278
2019,"Zacatecas","Con Secundaria completa",,,32,8.469253581
2018,"Zacatecas","Con Secundaria completa",,,32,7.361601885
2017,"Zacatecas","Con Secundaria completa",,,32,7.444766212
2022,"Estados Unidos Mexicanos","Con nivel de escolaridad Medio superior y superior",,,00,6.604389041
2021,"Estados Unidos Mexicanos","Con nivel de escolaridad Medio superior y superior",,,00,8.114294683
2020,"Estados Unidos Mexicanos","Con nivel de escolaridad Medio superior y superior",,,00,8.503028169
2019,"Estados Unidos Mexicanos","Con nivel de escolaridad Medio superior y superior",,,00,6.785830301
2018,"Estados Unidos Mexicanos","Con nivel de escolaridad Medio superior y superior",,,00,6.291378933
2017,"Estados Unidos Mexicanos","Con nivel de escolaridad Medio superior y superior",,,00,6.497921163
2022,"Aguascalientes","Con nivel de escolaridad Medio superior y superior",,,01,6.416114064
2021,"Aguascalientes","Con nivel de escolaridad Medio superior y superior",,,01,7.135479815
2020,"Aguascalientes","Con nivel de escolaridad Medio superior y superior",,,01,7.086570063
2019,"Aguascalientes","Con nivel de escolaridad Medio superior y superior",,,01,6.265899329
2018,"Aguascalientes","Con nivel de escolaridad Medio superior y superior",,,01,5.803571429
2017,"Aguascalientes","Con nivel de escolaridad Medio superior y superior",,,01,5.053325144
2022,"Baja California","Con nivel de escolaridad Medio superior y superior",,,02,5.029311844
2021,"Baja California","Con nivel de escolaridad Medio superior y superior",,,02,6.160917645
2020,"Baja California","Con nivel de escolaridad Medio superior y superior",,,02,6.777016534
2019,"Baja California","Con nivel de escolaridad Medio superior y superior",,,02,4.867995316
2018,"Baja California","Con nivel de escolaridad Medio superior y superior",,,02,4.802458428
2017,"Baja California","Con nivel de escolaridad Medio superior y superior",,,02,5.335483148
2022,"Baja California Sur","Con nivel de escolaridad Medio superior y superior",,,03,3.871822786
2021,"Baja California Sur","Con nivel de escolaridad Medio superior y superior",,,03,6.399006761
2020,"Baja California Sur","Con nivel de escolaridad Medio superior y superior",,,03,9.031020379
2019,"Baja California Sur","Con nivel de escolaridad Medio superior y superior",,,03,5.602726058
2018,"Baja California Sur","Con nivel de escolaridad Medio superior y superior",,,03,4.760424358
2017,"Baja California Sur","Con nivel de escolaridad Medio superior y superior",,,03,6.792847905
2022,"Campeche","Con nivel de escolaridad Medio superior y superior",,,04,5.156396204
2021,"Campeche","Con nivel de escolaridad Medio superior y superior",,,04,5.186426178
2020,"Campeche","Con nivel de escolaridad Medio superior y superior",,,04,6.52537355
2019,"Campeche","Con nivel de escolaridad Medio superior y superior",,,04,4.81893518
2018,"Campeche","Con nivel de escolaridad Medio superior y superior",,,04,6.003364478
2017,"Campeche","Con nivel de escolaridad Medio superior y superior",,,04,5.400543734
2022,"Coahuila de Zaragoza","Con nivel de escolaridad Medio superior y superior",,,05,6.349376688
2021,"Coahuila de Zaragoza","Con nivel de escolaridad Medio superior y superior",,,05,6.467860194
2020,"Coahuila de Zaragoza","Con nivel de escolaridad Medio superior y superior",,,05,6.588180741
2019,"Coahuila de Zaragoza","Con nivel de escolaridad Medio superior y superior",,,05,6.223372465
2018,"Coahuila de Zaragoza","Con nivel de escolaridad Medio superior y superior",,,05,5.223061565
2017,"Coahuila de Zaragoza","Con nivel de escolaridad Medio superior y superior",,,05,6.304086231
2022,"Colima","Con nivel de escolaridad Medio superior y superior",,,06,6.174487972
2021,"Colima","Con nivel de escolaridad Medio superior y superior",,,06,6.701597228
2020,"Colima","Con nivel de escolaridad Medio superior y superior",,,06,7.673413891
2019,"Colima","Con nivel de escolaridad Medio superior y superior",,,06,7.888502668
2018,"Colima","Con nivel de escolaridad Medio superior y superior",,,06,5.620321776
2017,"Colima","Con nivel de escolaridad Medio superior y superior",,,06,6.200739346
2022,"Chiapas","Con nivel de escolaridad Medio superior y superior",,,07,8.904239679
2021,"Chiapas","Con nivel de escolaridad Medio superior y superior",,,07,10.65355432
2020,"Chiapas","Con nivel de escolaridad Medio superior y superior",,,07,12.02028407
2019,"Chiapas","Con nivel de escolaridad Medio superior y superior",,,07,10.2715182
2018,"Chiapas","Con nivel de escolaridad Medio superior y superior",,,07,8.38293281
2017,"Chiapas","Con nivel de escolaridad Medio superior y superior",,,07,8.311384905
2022,"Chihuahua","Con nivel de escolaridad Medio superior y superior",,,08,4.855445011
2021,"Chihuahua","Con nivel de escolaridad Medio superior y superior",,,08,5.884418806
2020,"Chihuahua","Con nivel de escolaridad Medio superior y superior",,,08,6.282941582
2019,"Chihuahua","Con nivel de escolaridad Medio superior y superior",,,08,5.955174168
2018,"Chihuahua","Con nivel de escolaridad Medio superior y superior",,,08,5.05860526
2017,"Chihuahua","Con nivel de escolaridad Medio superior y superior",,,08,5.349742442
2022,"Ciudad de México","Con nivel de escolaridad Medio superior y superior",,,09,5.163275884
2021,"Ciudad de México","Con nivel de escolaridad Medio superior y superior",,,09,8.329295653
2020,"Ciudad de México","Con nivel de escolaridad Medio superior y superior",,,09,9.230521675
2019,"Ciudad de México","Con nivel de escolaridad Medio superior y superior",,,09,5.775438782
2018,"Ciudad de México","Con nivel de escolaridad Medio superior y superior",,,09,5.179440343
2017,"Ciudad de México","Con nivel de escolaridad Medio superior y superior",,,09,5.823989253
2022,"Durango","Con nivel de escolaridad Medio superior y superior",,,10,6.731097492
2021,"Durango","Con nivel de escolaridad Medio superior y superior",,,10,8.186605444
2020,"Durango","Con nivel de escolaridad Medio superior y superior",,,10,7.150320943
2019,"Durango","Con nivel de escolaridad Medio superior y superior",,,10,7.014393358
2018,"Durango","Con nivel de escolaridad Medio superior y superior",,,10,7.295144886
2017,"Durango","Con nivel de escolaridad Medio superior y superior",,,10,6.827411437
2022,"Guanajuato","Con nivel de escolaridad Medio superior y superior",,,11,7.914704965
2021,"Guanajuato","Con nivel de escolaridad Medio superior y superior",,,11,8.700631397
2020,"Guanajuato","Con nivel de escolaridad Medio superior y superior",,,11,8.351305271
2019,"Guanajuato","Con nivel de escolaridad Medio superior y superior",,,11,7.433123335
2018,"Guanajuato","Con nivel de escolaridad Medio superior y superior",,,11,6.950076448
2017,"Guanajuato","Con nivel de escolaridad Medio superior y superior",,,11,6.844520546
2022,"Guerrero","Con nivel de escolaridad Medio superior y superior",,,12,5.680165713
2021,"Guerrero","Con nivel de escolaridad Medio superior y superior",,,12,9.037915446
2020,"Guerrero","Con nivel de escolaridad Medio superior y superior",,,12,9.97936306
2019,"Guerrero","Con nivel de escolaridad Medio superior y superior",,,12,6.373407804
2018,"Guerrero","Con nivel de escolaridad Medio superior y superior",,,12,4.387995397
2017,"Guerrero","Con nivel de escolaridad Medio superior y superior",,,12,5.469056924
2022,"Hidalgo","Con nivel de escolaridad Medio superior y superior",,,13,5.843500467
2021,"Hidalgo","Con nivel de escolaridad Medio superior y superior",,,13,7.169447951
2020,"Hidalgo","Con nivel de escolaridad Medio superior y superior",,,13,10.53978799
2019,"Hidalgo","Con nivel de escolaridad Medio superior y superior",,,13,6.202422516
2018,"Hidalgo","Con nivel de escolaridad Medio superior y superior",,,13,7.181185136
2017,"Hidalgo","Con nivel de escolaridad Medio superior y superior",,,13,5.725650841
2022,"Jalisco","Con nivel de escolaridad Medio superior y superior",,,14,3.791608659
2021,"Jalisco","Con nivel de escolaridad Medio superior y superior",,,14,4.750996558
2020,"Jalisco","Con nivel de escolaridad Medio superior y superior",,,14,4.884196185
2019,"Jalisco","Con nivel de escolaridad Medio superior y superior",,,14,4.763394786
2018,"Jalisco","Con nivel de escolaridad Medio superior y superior",,,14,3.231512578
2017,"Jalisco","Con nivel de escolaridad Medio superior y superior",,,14,4.327835834
2022,"México","Con nivel de escolaridad Medio superior y superior",,,15,6.923842669
2021,"México","Con nivel de escolaridad Medio superior y superior",,,15,9.911359537
2020,"México","Con nivel de escolaridad Medio superior y superior",,,15,8.993581958
2019,"México","Con nivel de escolaridad Medio superior y superior",,,15,6.879144288
2018,"México","Con nivel de escolaridad Medio superior y superior",,,15,5.973849587
2017,"México","Con nivel de escolaridad Medio superior y superior",,,15,5.561059968
2022,"Michoacán de Ocampo","Con nivel de escolaridad Medio superior y superior",,,16,3.778532559
2021,"Michoacán de Ocampo","Con nivel de escolaridad Medio superior y superior",,,16,5.182862968
2020,"Michoacán de Ocampo","Con nivel de escolaridad Medio superior y superior",,,16,10.87736065
2019,"Michoacán de Ocampo","Con nivel de escolaridad Medio superior y superior",,,16,4.907567892
2018,"Michoacán de Ocampo","Con nivel de escolaridad Medio superior y superior",,,16,6.031783434
2017,"Michoacán de Ocampo","Con nivel de escolaridad Medio superior y superior",,,16,6.035849287
2022,"Morelos","Con nivel de escolaridad Medio superior y superior",,,17,6.235465722
2021,"Morelos","Con nivel de escolaridad Medio superior y superior",,,17,8.861511565
2020,"Morelos","Con nivel de escolaridad Medio superior y superior",,,17,8.287446659
2019,"Morelos","Con nivel de escolaridad Medio superior y superior",,,17,5.598730762
2018,"Morelos","Con nivel de escolaridad Medio superior y superior",,,17,5.382012532
2017,"Morelos","Con nivel de escolaridad Medio superior y superior",,,17,5.563426674
2022,"Nayarit","Con nivel de escolaridad Medio superior y superior",,,18,6.196611959
2021,"Nayarit","Con nivel de escolaridad Medio superior y superior",,,18,6.563755821
2020,"Nayarit","Con nivel de escolaridad Medio superior y superior",,,18,7.41794016
2019,"Nayarit","Con nivel de escolaridad Medio superior y superior",,,18,7.521058965
2018,"Nayarit","Con nivel de escolaridad Medio superior y superior",,,18,7.142474343
2017,"Nayarit","Con nivel de escolaridad Medio superior y superior",,,18,7.062692115
2022,"Nuevo León","Con nivel de escolaridad Medio superior y superior",,,19,5.157398261
2021,"Nuevo León","Con nivel de escolaridad Medio superior y superior",,,19,5.23278302
2020,"Nuevo León","Con nivel de escolaridad Medio superior y superior",,,19,5.135477991
2019,"Nuevo León","Con nivel de escolaridad Medio superior y superior",,,19,4.404679737
2018,"Nuevo León","Con nivel de escolaridad Medio superior y superior",,,19,4.070110233
2017,"Nuevo León","Con nivel de escolaridad Medio superior y superior",,,19,5.637715119
2022,"Oaxaca","Con nivel de escolaridad Medio superior y superior",,,20,7.803397464
2021,"Oaxaca","Con nivel de escolaridad Medio superior y superior",,,20,9.885803319
2020,"Oaxaca","Con nivel de escolaridad Medio superior y superior",,,20,10.14026584
2019,"Oaxaca","Con nivel de escolaridad Medio superior y superior",,,20,8.642338971
2018,"Oaxaca","Con nivel de escolaridad Medio superior y superior",,,20,8.318092691
2017,"Oaxaca","Con nivel de escolaridad Medio superior y superior",,,20,8.398301159
2022,"Puebla","Con nivel de escolaridad Medio superior y superior",,,21,8.383463275
2021,"Puebla","Con nivel de escolaridad Medio superior y superior",,,21,9.202397133
2020,"Puebla","Con nivel de escolaridad Medio superior y superior",,,21,13.55668195
2019,"Puebla","Con nivel de escolaridad Medio superior y superior",,,21,8.849167666
2018,"Puebla","Con nivel de escolaridad Medio superior y superior",,,21,7.859356069
2017,"Puebla","Con nivel de escolaridad Medio superior y superior",,,21,8.02520834
2022,"Querétaro","Con nivel de escolaridad Medio superior y superior",,,22,5.8709776
2021,"Querétaro","Con nivel de escolaridad Medio superior y superior",,,22,8.191032889
2020,"Querétaro","Con nivel de escolaridad Medio superior y superior",,,22,8.581654638
2019,"Querétaro","Con nivel de escolaridad Medio superior y superior",,,22,4.788141152
2018,"Querétaro","Con nivel de escolaridad Medio superior y superior",,,22,4.613266172
2017,"Querétaro","Con nivel de escolaridad Medio superior y superior",,,22,5.154655191
2022,"Quintana Roo","Con nivel de escolaridad Medio superior y superior",,,23,6.9962865
2021,"Quintana Roo","Con nivel de escolaridad Medio superior y superior",,,23,9.694976904
2020,"Quintana Roo","Con nivel de escolaridad Medio superior y superior",,,23,11.62777824
2019,"Quintana Roo","Con nivel de escolaridad Medio superior y superior",,,23,6.085297451
2018,"Quintana Roo","Con nivel de escolaridad Medio superior y superior",,,23,6.913416951
2017,"Quintana Roo","Con nivel de escolaridad Medio superior y superior",,,23,6.398821974
2022,"San Luis Potosí","Con nivel de escolaridad Medio superior y superior",,,24,7.691926724
2021,"San Luis Potosí","Con nivel de escolaridad Medio superior y superior",,,24,8.46527349
2020,"San Luis Potosí","Con nivel de escolaridad Medio superior y superior",,,24,6.192993865
2019,"San Luis Potosí","Con nivel de escolaridad Medio superior y superior",,,24,6.38487454
2018,"San Luis Potosí","Con nivel de escolaridad Medio superior y superior",,,24,5.399785439
2017,"San Luis Potosí","Con nivel de escolaridad Medio superior y superior",,,24,7.130779881
2022,"Sinaloa","Con nivel de escolaridad Medio superior y superior",,,25,6.832057704
2021,"Sinaloa","Con nivel de escolaridad Medio superior y superior",,,25,6.210965846
2020,"Sinaloa","Con nivel de escolaridad Medio superior y superior",,,25,6.079982512
2019,"Sinaloa","Con nivel de escolaridad Medio superior y superior",,,25,6.618950686
2018,"Sinaloa","Con nivel de escolaridad Medio superior y superior",,,25,5.696993254
2017,"Sinaloa","Con nivel de escolaridad Medio superior y superior",,,25,7.490365859
2022,"Sonora","Con nivel de escolaridad Medio superior y superior",,,26,4.699164196
2021,"Sonora","Con nivel de escolaridad Medio superior y superior",,,26,6.793470743
2020,"Sonora","Con nivel de escolaridad Medio superior y superior",,,26,7.809029116
2019,"Sonora","Con nivel de escolaridad Medio superior y superior",,,26,6.761741346
2018,"Sonora","Con nivel de escolaridad Medio superior y superior",,,26,5.393793756
2017,"Sonora","Con nivel de escolaridad Medio superior y superior",,,26,5.492160683
2022,"Tabasco","Con nivel de escolaridad Medio superior y superior",,,27,9.765791751
2021,"Tabasco","Con nivel de escolaridad Medio superior y superior",,,27,9.843016506
2020,"Tabasco","Con nivel de escolaridad Medio superior y superior",,,27,12.55390081
2019,"Tabasco","Con nivel de escolaridad Medio superior y superior",,,27,10.49253847
2018,"Tabasco","Con nivel de escolaridad Medio superior y superior",,,27,13.58328336
2017,"Tabasco","Con nivel de escolaridad Medio superior y superior",,,27,14.15227657
2022,"Tamaulipas","Con nivel de escolaridad Medio superior y superior",,,28,7.644249448
2021,"Tamaulipas","Con nivel de escolaridad Medio superior y superior",,,28,8.046100819
2020,"Tamaulipas","Con nivel de escolaridad Medio superior y superior",,,28,6.25714059
2019,"Tamaulipas","Con nivel de escolaridad Medio superior y superior",,,28,7.363944272
2018,"Tamaulipas","Con nivel de escolaridad Medio superior y superior",,,28,8.638115288
2017,"Tamaulipas","Con nivel de escolaridad Medio superior y superior",,,28,7.519086627
2022,"Tlaxcala","Con nivel de escolaridad Medio superior y superior",,,29,9.743310939
2021,"Tlaxcala","Con nivel de escolaridad Medio superior y superior",,,29,11.32463432
2020,"Tlaxcala","Con nivel de escolaridad Medio superior y superior",,,29,11.29023538
2019,"Tlaxcala","Con nivel de escolaridad Medio superior y superior",,,29,8.979849984
2018,"Tlaxcala","Con nivel de escolaridad Medio superior y superior",,,29,7.95196015
2017,"Tlaxcala","Con nivel de escolaridad Medio superior y superior",,,29,8.073642222
2022,"Veracruz de Ignacio de la Llave","Con nivel de escolaridad Medio superior y superior",,,30,11.38691793
2021,"Veracruz de Ignacio de la Llave","Con nivel de escolaridad Medio superior y superior",,,30,11.55406801
2020,"Veracruz de Ignacio de la Llave","Con nivel de escolaridad Medio superior y superior",,,30,7.927978531
2019,"Veracruz de Ignacio de la Llave","Con nivel de escolaridad Medio superior y superior",,,30,9.792502681
2018,"Veracruz de Ignacio de la Llave","Con nivel de escolaridad Medio superior y superior",,,30,9.616760459
2017,"Veracruz de Ignacio de la Llave","Con nivel de escolaridad Medio superior y superior",,,30,9.422826948
2022,"Yucatán","Con nivel de escolaridad Medio superior y superior",,,31,4.559247602
2021,"Yucatán","Con nivel de escolaridad Medio superior y superior",,,31,5.774087552
2020,"Yucatán","Con nivel de escolaridad Medio superior y superior",,,31,7.28448607
2019,"Yucatán","Con nivel de escolaridad Medio superior y superior",,,31,5.041305449
2018,"Yucatán","Con nivel de escolaridad Medio superior y superior",,,31,5.21617673
2017,"Yucatán","Con nivel de escolaridad Medio superior y superior",,,31,5.245187634
2022,"Zacatecas","Con nivel de escolaridad Medio superior y superior",,,32,6.081568934
2021,"Zacatecas","Con nivel de escolaridad Medio superior y superior",,,32,6.625876585
2020,"Zacatecas","Con nivel de escolaridad Medio superior y superior",,,32,6.396368623
2019,"Zacatecas","Con nivel de escolaridad Medio superior y superior",,,32,6.118168809
2018,"Zacatecas","Con nivel de escolaridad Medio superior y superior",,,32,5.842751192
2017,"Zacatecas","Con nivel de escolaridad Medio superior y superior",,,32,6.179661103
2022,"Estados Unidos Mexicanos","Con nivel de escolaridad no especificado",,,00,3.437815976
2021,"Estados Unidos Mexicanos","Con nivel de escolaridad no especificado",,,00,10.24723123
2020,"Estados Unidos Mexicanos","Con nivel de escolaridad no especificado",,,00,15.5890411
2019,"Estados Unidos Mexicanos","Con nivel de escolaridad no especificado",,,00,5.626107501
2018,"Estados Unidos Mexicanos","Con nivel de escolaridad no especificado",,,00,2.916030534
2017,"Estados Unidos Mexicanos","Con nivel de escolaridad no especificado",,,00,12.13773761
2022,"Aguascalientes","Con nivel de escolaridad no especificado",,,01,0
2021,"Aguascalientes","Con nivel de escolaridad no especificado",,,01,0
2020,"Aguascalientes","Con nivel de escolaridad no especificado",,,01,0
2019,"Aguascalientes","Con nivel de escolaridad no especificado",,,01,0
2018,"Aguascalientes","Con nivel de escolaridad no especificado",,,01,0
2017,"Aguascalientes","Con nivel de escolaridad no especificado",,,01,0
2022,"Baja California","Con nivel de escolaridad no especificado",,,02,3.975903614
2021,"Baja California","Con nivel de escolaridad no especificado",,,02,0
2020,"Baja California","Con nivel de escolaridad no especificado",,,02,0
2019,"Baja California","Con nivel de escolaridad no especificado",,,02,0
2018,"Baja California","Con nivel de escolaridad no especificado",,,02,30.03802281
2017,"Baja California","Con nivel de escolaridad no especificado",,,02,0
2022,"Baja California Sur","Con nivel de escolaridad no especificado",,,03,0
2021,"Baja California Sur","Con nivel de escolaridad no especificado",,,03,50
2020,"Baja California Sur","Con nivel de escolaridad no especificado",,,03,0
2019,"Baja California Sur","Con nivel de escolaridad no especificado",,,03,0
2018,"Baja California Sur","Con nivel de escolaridad no especificado",,,03,0
2017,"Baja California Sur","Con nivel de escolaridad no especificado",,,03,0
2022,"Campeche","Con nivel de escolaridad no especificado",,,04,46.15384615
2021,"Campeche","Con nivel de escolaridad no especificado",,,04,0
2020,"Campeche","Con nivel de escolaridad no especificado",,,04,0
2019,"Campeche","Con nivel de escolaridad no especificado",,,04,0
2018,"Campeche","Con nivel de escolaridad no especificado",,,04,0
2017,"Campeche","Con nivel de escolaridad no especificado",,,04,0
2022,"Coahuila de Zaragoza","Con nivel de escolaridad no especificado",,,05,0
2021,"Coahuila de Zaragoza","Con nivel de escolaridad no especificado",,,05,0
2020,"Coahuila de Zaragoza","Con nivel de escolaridad no especificado",,,05,0
2019,"Coahuila de Zaragoza","Con nivel de escolaridad no especificado",,,05,0
2018,"Coahuila de Zaragoza","Con nivel de escolaridad no especificado",,,05,0
2017,"Coahuila de Zaragoza","Con nivel de escolaridad no especificado",,,05,0
2022,"Colima","Con nivel de escolaridad no especificado",,,06,0
2021,"Colima","Con nivel de escolaridad no especificado",,,06,0
2020,"Colima","Con nivel de escolaridad no especificado",,,06,0
2019,"Colima","Con nivel de escolaridad no especificado",,,06,0
2018,"Colima","Con nivel de escolaridad no especificado",,,06,0
2017,"Colima","Con nivel de escolaridad no especificado",,,06,0
2022,"Chiapas","Con nivel de escolaridad no especificado",,,07,0
2021,"Chiapas","Con nivel de escolaridad no especificado",,,07,30.6122449
2020,"Chiapas","Con nivel de escolaridad no especificado",,,07,40.90909091
2019,"Chiapas","Con nivel de escolaridad no especificado",,,07,0
2018,"Chiapas","Con nivel de escolaridad no especificado",,,07,0
2017,"Chiapas","Con nivel de escolaridad no especificado",,,07,0
2022,"Chihuahua","Con nivel de escolaridad no especificado",,,08,0
2021,"Chihuahua","Con nivel de escolaridad no especificado",,,08,0
2020,"Chihuahua","Con nivel de escolaridad no especificado",,,08,0
2019,"Chihuahua","Con nivel de escolaridad no especificado",,,08,29.55665025
2018,"Chihuahua","Con nivel de escolaridad no especificado",,,08,0
2017,"Chihuahua","Con nivel de escolaridad no especificado",,,08,0
2022,"Ciudad de México","Con nivel de escolaridad no especificado",,,09,0
2021,"Ciudad de México","Con nivel de escolaridad no especificado",,,09,0
2020,"Ciudad de México","Con nivel de escolaridad no especificado",,,09,0
2019,"Ciudad de México","Con nivel de escolaridad no especificado",,,09,0
2018,"Ciudad de México","Con nivel de escolaridad no especificado",,,09,0
2017,"Ciudad de México","Con nivel de escolaridad no especificado",,,09,0
2022,"Durango","Con nivel de escolaridad no especificado",,,10,0
2021,"Durango","Con nivel de escolaridad no especificado",,,10,0
2020,"Durango","Con nivel de escolaridad no especificado",,,10,0
2019,"Durango","Con nivel de escolaridad no especificado",,,10,0
2018,"Durango","Con nivel de escolaridad no especificado",,,10,0
2017,"Durango","Con nivel de escolaridad no especificado",,,10,0
2022,"Guanajuato","Con nivel de escolaridad no especificado",,,11,0
2021,"Guanajuato","Con nivel de escolaridad no especificado",,,11,0
2020,"Guanajuato","Con nivel de escolaridad no especificado",,,11,0
2019,"Guanajuato","Con nivel de escolaridad no especificado",,,11,0
2018,"Guanajuato","Con nivel de escolaridad no especificado",,,11,0
2017,"Guanajuato","Con nivel de escolaridad no especificado",,,11,0
2022,"Guerrero","Con nivel de escolaridad no especificado",,,12,8.032128514
2021,"Guerrero","Con nivel de escolaridad no especificado",,,12,5.542725173
2020,"Guerrero","Con nivel de escolaridad no especificado",,,12,41.55251142
2019,"Guerrero","Con nivel de escolaridad no especificado",,,12,0
2018,"Guerrero","Con nivel de escolaridad no especificado",,,12,0
2017,"Guerrero","Con nivel de escolaridad no especificado",,,12,0
2022,"Hidalgo","Con nivel de escolaridad no especificado",,,13,11.51079137
2021,"Hidalgo","Con nivel de escolaridad no especificado",,,13,0
2020,"Hidalgo","Con nivel de escolaridad no especificado",,,13,0
2019,"Hidalgo","Con nivel de escolaridad no especificado",,,13,0
2018,"Hidalgo","Con nivel de escolaridad no especificado",,,13,0
2017,"Hidalgo","Con nivel de escolaridad no especificado",,,13,0
2022,"Jalisco","Con nivel de escolaridad no especificado",,,14,0
2021,"Jalisco","Con nivel de escolaridad no especificado",,,14,0
2020,"Jalisco","Con nivel de escolaridad no especificado",,,14,0
2019,"Jalisco","Con nivel de escolaridad no especificado",,,14,0
2018,"Jalisco","Con nivel de escolaridad no especificado",,,14,0
2017,"Jalisco","Con nivel de escolaridad no especificado",,,14,0
2022,"México","Con nivel de escolaridad no especificado",,,15,0
2021,"México","Con nivel de escolaridad no especificado",,,15,22.78213639
2020,"México","Con nivel de escolaridad no especificado",,,15,0
2019,"México","Con nivel de escolaridad no especificado",,,15,0
2018,"México","Con nivel de escolaridad no especificado",,,15,0
2017,"México","Con nivel de escolaridad no especificado",,,15,0
2022,"Michoacán de Ocampo","Con nivel de escolaridad no especificado",,,16,0
2021,"Michoacán de Ocampo","Con nivel de escolaridad no especificado",,,16,0
2020,"Michoacán de Ocampo","Con nivel de escolaridad no especificado",,,16,0
2019,"Michoacán de Ocampo","Con nivel de escolaridad no especificado",,,16,0
