Year,Entidad federativa,Principales ciudades,"Habilidades para uso de PC",GeoCode,Value
2017,"Baja California","Ensenada","Crear archivos de texto",020010001,43.9182525720987
2016 P/,"Baja California","Ensenada","Crear archivos de texto",020010001,50.8156971033308
2018,"Baja California","Ensenada","Crear hojas de cálculo",020010001,36.6392143719433
2017,"Baja California","Ensenada","Crear hojas de cálculo",020010001,33.2613678767525
2016 P/,"Baja California","Ensenada","Crear hojas de cálculo",020010001,38.7334198830891
2018,"Baja California","Ensenada","Crear presentaciones",020010001,39.7672140855978
2017,"Baja California","Ensenada","Crear presentaciones",020010001,37.6749160403007
2016 P/,"Baja California","Ensenada","Crear presentaciones",020010001,42.002390421827
2018,"Baja California","Ensenada","Crear / usar base de datos",020010001,27.1709385300712
2017,"Baja California","Ensenada","Crear / usar base de datos",020010001,25.8099445599446
2016 P/,"Baja California","Ensenada","Crear / usar base de datos",020010001,34.0494295272048
2018,"Baja California","Ensenada","Descargar contenidos de Internet (música, videos, documentos, etcétera)",020010001,53.374810052030305
2017,"Baja California","Ensenada","Descargar contenidos de Internet (música, videos, documentos, etcétera)",020010001,48.3584546084546
2016 P/,"Baja California","Ensenada","Descargar contenidos de Internet (música, videos, documentos, etcétera)",020010001,58.826701286569
2018,"Baja California","Ensenada","Enviar y recibir correo electrónico",020010001,48.2762323433804
2017,"Baja California","Ensenada","Enviar y recibir correo electrónico",020010001,46.5050109280879
2016 P/,"Baja California","Ensenada","Enviar y recibir correo electrónico",020010001,53.7364079103729
2018,"Baja California","Ensenada","Instalar dispositivos periféricos (impresoras, proyectores, etcétera)",020010001,32.8366756583507
2017,"Baja California","Ensenada","Instalar dispositivos periféricos (impresoras, proyectores, etcétera)",020010001,29.124020470174298
2016 P/,"Baja California","Ensenada","Instalar dispositivos periféricos (impresoras, proyectores, etcétera)",020010001,34.5474340745015
2018,"Baja California","Mexicali","Copiar archivos entre carpetas",020020001,43.46662968188641
2017,"Baja California","Mexicali","Copiar archivos entre carpetas",020020001,46.2367734800595
2016 P/,"Baja California","Mexicali","Copiar archivos entre carpetas",020020001,49.7193577497213
2018,"Baja California","Mexicali","Crear archivos de texto",020020001,44.5329649080226
2017,"Baja California","Mexicali","Crear archivos de texto",020020001,47.1168575836599
2016 P/,"Baja California","Mexicali","Crear archivos de texto",020020001,50.0303132744203
2018,"Baja California","Mexicali","Crear hojas de cálculo",020020001,34.2190121329638
2017,"Baja California","Mexicali","Crear hojas de cálculo",020020001,35.2241169804623
2016 P/,"Baja California","Mexicali","Crear hojas de cálculo",020020001,33.7960880509822
2018,"Baja California","Mexicali","Crear presentaciones",020020001,39.0317900189102
2017,"Baja California","Mexicali","Crear presentaciones",020020001,40.8979697718553
2016 P/,"Baja California","Mexicali","Crear presentaciones",020020001,42.654269422148
2018,"Baja California","Mexicali","Crear / usar base de datos",020020001,28.0757156688333
2017,"Baja California","Mexicali","Crear / usar base de datos",020020001,28.189451551684098
2016 P/,"Baja California","Mexicali","Crear / usar base de datos",020020001,35.3585487624641
2018,"Baja California","Mexicali","Descargar contenidos de Internet (música, videos, documentos, etcétera)",020020001,55.6634722840858
2017,"Baja California","Mexicali","Descargar contenidos de Internet (música, videos, documentos, etcétera)",020020001,55.0426661933564
2016 P/,"Baja California","Mexicali","Descargar contenidos de Internet (música, videos, documentos, etcétera)",020020001,59.248621933400194
2018,"Baja California","Mexicali","Enviar y recibir correo electrónico",020020001,49.3898844847958
2017,"Baja California","Mexicali","Enviar y recibir correo electrónico",020020001,51.14413664104419
2016 P/,"Baja California","Mexicali","Enviar y recibir correo electrónico",020020001,51.3992998611456
2018,"Baja California","Mexicali","Instalar dispositivos periféricos (impresoras, proyectores, etcétera)",020020001,35.0539702183613
2017,"Baja California","Mexicali","Instalar dispositivos periféricos (impresoras, proyectores, etcétera)",020020001,33.4143877230589
2016 P/,"Baja California","Mexicali","Instalar dispositivos periféricos (impresoras, proyectores, etcétera)",020020001,36.7627378614194
2018,"Baja California","Tijuana","Copiar archivos entre carpetas",020040001,43.4863555808382
2017,"Baja California","Tijuana","Copiar archivos entre carpetas",020040001,40.3591204223163
2016 P/,"Baja California","Tijuana","Copiar archivos entre carpetas",020040001,47.1310389621489
2018,"Baja California","Tijuana","Crear archivos de texto",020040001,47.2968926059227
2017,"Baja California","Tijuana","Crear archivos de texto",020040001,42.0164157707602
2016 P/,"Baja California","Tijuana","Crear archivos de texto",020040001,48.2515176635815
2018,"Baja California","Tijuana","Crear hojas de cálculo",020040001,36.3736995547582
2017,"Baja California","Tijuana","Crear hojas de cálculo",020040001,31.561729655538297
2016 P/,"Baja California","Tijuana","Crear hojas de cálculo",020040001,34.8005743049799
2018,"Baja California","Tijuana","Crear presentaciones",020040001,39.2123896467602
2017,"Baja California","Tijuana","Crear presentaciones",020040001,36.1495705894282
2016 P/,"Baja California","Tijuana","Crear presentaciones",020040001,40.5295228653716
2018,"Baja California","Tijuana","Crear / usar base de datos",020040001,22.630618853310903
2017,"Baja California","Tijuana","Crear / usar base de datos",020040001,27.218434165349198
2016 P/,"Baja California","Tijuana","Crear / usar base de datos",020040001,35.1668504100754
2018,"Baja California","Tijuana","Descargar contenidos de Internet (música, videos, documentos, etcétera)",020040001,54.2892130049994
2017,"Baja California","Tijuana","Descargar contenidos de Internet (música, videos, documentos, etcétera)",020040001,48.0002357740863
2016 P/,"Baja California","Tijuana","Descargar contenidos de Internet (música, videos, documentos, etcétera)",020040001,57.8231961097675
2018,"Baja California","Tijuana","Enviar y recibir correo electrónico",020040001,46.90053713448051
2017,"Baja California","Tijuana","Enviar y recibir correo electrónico",020040001,44.9910988265327
2016 P/,"Baja California","Tijuana","Enviar y recibir correo electrónico",020040001,51.0291055256913
2018,"Baja California","Tijuana","Instalar dispositivos periféricos (impresoras, proyectores, etcétera)",020040001,35.2962170854711
2017,"Baja California","Tijuana","Instalar dispositivos periféricos (impresoras, proyectores, etcétera)",020040001,32.7832639694392
2016 P/,"Baja California","Tijuana","Instalar dispositivos periféricos (impresoras, proyectores, etcétera)",020040001,35.0976261491085
2018,"Baja California Sur",,"Copiar archivos entre carpetas",03,36.0456050935146
2017,"Baja California Sur",,"Copiar archivos entre carpetas",03,36.8465468975077
2016 P/,"Baja California Sur",,"Copiar archivos entre carpetas",03,36.8620176782957
2018,"Baja California Sur",,"Crear archivos de texto",03,37.2719148676636
2017,"Baja California Sur",,"Crear archivos de texto",03,38.821379066670296
2016 P/,"Baja California Sur",,"Crear archivos de texto",03,37.8564925039728
2018,"Baja California Sur",,"Crear hojas de cálculo",03,29.6256765321248
2017,"Baja California Sur",,"Crear hojas de cálculo",03,28.7262522762482
2016 P/,"Baja California Sur",,"Crear hojas de cálculo",03,26.3445344885114
2018,"Baja California Sur",,"Crear presentaciones",03,33.7174860185571
2017,"Baja California Sur",,"Crear presentaciones",03,33.1375533389503
2016 P/,"Baja California Sur",,"Crear presentaciones",03,32.5931560225531
2018,"Baja California Sur",,"Crear / usar base de datos",03,23.749095084419
2017,"Baja California Sur",,"Crear / usar base de datos",03,22.5923409344169
2016 P/,"Baja California Sur",,"Crear / usar base de datos",03,26.737432631894404
2018,"Baja California Sur",,"Descargar contenidos de Internet (música, videos, documentos, etcétera)",03,43.1991450702321
2017,"Baja California Sur",,"Descargar contenidos de Internet (música, videos, documentos, etcétera)",03,43.4369309379502
2016 P/,"Baja California Sur",,"Descargar contenidos de Internet (música, videos, documentos, etcétera)",03,44.962449173486
2018,"Baja California Sur",,"Enviar y recibir correo electrónico",03,37.7916612526418
2017,"Baja California Sur",,"Enviar y recibir correo electrónico",03,38.0702851085804
2016 P/,"Baja California Sur",,"Enviar y recibir correo electrónico",03,38.0564054132005
2018,"Baja California Sur",,"Instalar dispositivos periféricos (impresoras, proyectores, etcétera)",03,28.0165841525084
2017,"Baja California Sur",,"Instalar dispositivos periféricos (impresoras, proyectores, etcétera)",03,26.4527219851602
2016 P/,"Baja California Sur",,"Instalar dispositivos periféricos (impresoras, proyectores, etcétera)",03,24.039173881816698
2018,"Baja California Sur","La Paz","Copiar archivos entre carpetas",030030001,47.7816710449897
2017,"Baja California Sur","La Paz","Copiar archivos entre carpetas",030030001,44.971339239187095
2016 P/,"Baja California Sur","La Paz","Copiar archivos entre carpetas",030030001,49.6751521243856
2018,"Baja California Sur","La Paz","Crear archivos de texto",030030001,50.023654483005295
2017,"Baja California Sur","La Paz","Crear archivos de texto",030030001,48.1715588192005
2016 P/,"Baja California Sur","La Paz","Crear archivos de texto",030030001,49.8065744101446
2018,"Baja California Sur","La Paz","Crear hojas de cálculo",030030001,39.2368256068433
2017,"Baja California Sur","La Paz","Crear hojas de cálculo",030030001,36.8966024766398
2016 P/,"Baja California Sur","La Paz","Crear hojas de cálculo",030030001,37.2678995917258
2018,"Baja California Sur","La Paz","Crear presentaciones",030030001,45.43237702553531
2017,"Baja California Sur","La Paz","Crear presentaciones",030030001,40.6807775996563
2016 P/,"Baja California Sur","La Paz","Crear presentaciones",030030001,42.8135904650866
2018,"Baja California Sur","La Paz","Crear / usar base de datos",030030001,33.5424415272719
2017,"Baja California Sur","La Paz","Crear / usar base de datos",030030001,29.3549041525285
2016 P/,"Baja California Sur","La Paz","Crear / usar base de datos",030030001,35.3641303676116
2018,"Baja California Sur","La Paz","Descargar contenidos de Internet (música, videos, documentos, etcétera)",030030001,55.64342116903149
2017,"Baja California Sur","La Paz","Descargar contenidos de Internet (música, videos, documentos, etcétera)",030030001,52.05518141207451
2016 P/,"Baja California Sur","La Paz","Descargar contenidos de Internet (música, videos, documentos, etcétera)",030030001,56.2648056062522
2018,"Baja California Sur","La Paz","Enviar y recibir correo electrónico",030030001,49.7336466751028
2017,"Baja California Sur","La Paz","Enviar y recibir correo electrónico",030030001,47.1933935056824
2016 P/,"Baja California Sur","La Paz","Enviar y recibir correo electrónico",030030001,50.94364497031669
2018,"Baja California Sur","La Paz","Instalar dispositivos periféricos (impresoras, proyectores, etcétera)",030030001,38.5902697380314
2017,"Baja California Sur","La Paz","Instalar dispositivos periféricos (impresoras, proyectores, etcétera)",030030001,34.0110346912554
2016 P/,"Baja California Sur","La Paz","Instalar dispositivos periféricos (impresoras, proyectores, etcétera)",030030001,33.2490143328568
2018,"Campeche",,"Copiar archivos entre carpetas",04,33.3731931330271
2017,"Campeche",,"Copiar archivos entre carpetas",04,34.4303876295771
2016 P/,"Campeche",,"Copiar archivos entre carpetas",04,32.0041607606574
2018,"Campeche",,"Crear archivos de texto",04,35.329095155219
2017,"Campeche",,"Crear archivos de texto",04,37.4279062637721
2016 P/,"Campeche",,"Crear archivos de texto",04,33.7126608967855
2018,"Campeche",,"Crear hojas de cálculo",04,26.166455460480204
2017,"Campeche",,"Crear hojas de cálculo",04,27.6031587116059
2016 P/,"Campeche",,"Crear hojas de cálculo",04,22.875759540265204
2018,"Campeche",,"Crear presentaciones",04,30.1631714190011
2017,"Campeche",,"Crear presentaciones",04,31.946626683783894
2016 P/,"Campeche",,"Crear presentaciones",04,27.2946143299625
2018,"Campeche",,"Crear / usar base de datos",04,20.2083328453338
2017,"Campeche",,"Crear / usar base de datos",04,18.213368717545798
2016 P/,"Campeche",,"Crear / usar base de datos",04,20.1971477790353
2018,"Campeche",,"Descargar contenidos de Internet (música, videos, documentos, etcétera)",04,37.5419581975719
2017,"Campeche",,"Descargar contenidos de Internet (música, videos, documentos, etcétera)",04,38.443805207994
2016 P/,"Campeche",,"Descargar contenidos de Internet (música, videos, documentos, etcétera)",04,35.1573287623568
2018,"Campeche",,"Enviar y recibir correo electrónico",04,31.083967927891603
2017,"Campeche",,"Enviar y recibir correo electrónico",04,31.6445994366629
2016 P/,"Campeche",,"Enviar y recibir correo electrónico",04,29.2721965226882
2018,"Campeche",,"Instalar dispositivos periféricos (impresoras, proyectores, etcétera)",04,24.072820457563996
2017,"Campeche",,"Instalar dispositivos periféricos (impresoras, proyectores, etcétera)",04,23.6302190116691
2016 P/,"Campeche",,"Instalar dispositivos periféricos (impresoras, proyectores, etcétera)",04,20.5807484241485
2018,"Campeche","Campeche","Copiar archivos entre carpetas",040020001,42.1520048471569
2017,"Campeche","Campeche","Copiar archivos entre carpetas",040020001,44.162228594838204
2016 P/,"Campeche","Campeche","Copiar archivos entre carpetas",040020001,48.07949987290019
2018,"Campeche","Campeche","Crear archivos de texto",040020001,45.0428691184648
2017,"Campeche","Campeche","Crear archivos de texto",040020001,47.9936818187577
2016 P/,"Campeche","Campeche","Crear archivos de texto",040020001,50.3276590794525
2018,"Campeche","Campeche","Crear hojas de cálculo",040020001,34.5405575890375
2017,"Campeche","Campeche","Crear hojas de cálculo",040020001,35.3269109753059
2016 P/,"Campeche","Campeche","Crear hojas de cálculo",040020001,36.0403445051939
2018,"Campeche","Campeche","Crear presentaciones",040020001,37.937302358009
2017,"Campeche","Campeche","Crear presentaciones",040020001,40.089620191150296
2016 P/,"Campeche","Campeche","Crear presentaciones",040020001,42.814119715124
2018,"Campeche","Campeche","Crear / usar base de datos",040020001,23.920387108554696
2017,"Campeche","Campeche","Crear / usar base de datos",040020001,25.703932392082
2016 P/,"Campeche","Campeche","Crear / usar base de datos",040020001,32.1592754878264
2018,"Campeche","Campeche","Descargar contenidos de Internet (música, videos, documentos, etcétera)",040020001,48.7155864312808
2017,"Campeche","Campeche","Descargar contenidos de Internet (música, videos, documentos, etcétera)",040020001,48.464589043699306
2016 P/,"Campeche","Campeche","Descargar contenidos de Internet (música, videos, documentos, etcétera)",040020001,52.9928781004821
2018,"Campeche","Campeche","Enviar y recibir correo electrónico",040020001,42.419262468564
2017,"Campeche","Campeche","Enviar y recibir correo electrónico",040020001,44.6614324871081
2016 P/,"Campeche","Campeche","Enviar y recibir correo electrónico",040020001,46.8701125802991
