Year,Entidad federativa,"Sexo","Grupos de edad en plazas del Poder judicial",GeoCode,Value
2019,"Coahuila de Zaragoza","Total","De 18 a 24 años",8103005,0
2020,"Coahuila de Zaragoza","Total","De 25 a 34 años",8103005,0.649952976595514
2019,"Coahuila de Zaragoza","Total","De 25 a 34 años",8103005,0.6350471813902921
2020,"Coahuila de Zaragoza","Total","De 35 a 44 años",8103005,1.1427812439216003
2019,"Coahuila de Zaragoza","Total","De 35 a 44 años",8103005,1.1161002634885497
2020,"Coahuila de Zaragoza","Total","De 45 a 54 años",8103005,2.43110377244436
2019,"Coahuila de Zaragoza","Total","De 45 a 54 años",8103005,2.5162507244129597
2020,"Coahuila de Zaragoza","Total","De 55 a 59 años",8103005,0.935725917917355
2019,"Coahuila de Zaragoza","Total","De 55 a 59 años",8103005,0.806965673562849
2020,"Coahuila de Zaragoza","Total","De 60 años y más",8103005,0.798232633450331
2019,"Coahuila de Zaragoza","Total","De 60 años y más",8103005,0.8866796580585861
2020,"Coahuila de Zaragoza","Hombres","Total",8103005,1.0062964572647901
2019,"Coahuila de Zaragoza","Hombres","Total",8103005,1.05398857724109
2020,"Coahuila de Zaragoza","Hombres","De 18 a 24 años",8103005,0.03515126432167099
2019,"Coahuila de Zaragoza","Hombres","De 18 a 24 años",8103005,0
2020,"Coahuila de Zaragoza","Hombres","De 25 a 34 años",8103005,0.678472450622908
2019,"Coahuila de Zaragoza","Hombres","De 25 a 34 años",8103005,0.518824938458207
2020,"Coahuila de Zaragoza","Hombres","De 35 a 44 años",8103005,0.891908795101443
2019,"Coahuila de Zaragoza","Hombres","De 35 a 44 años",8103005,1.15822078948553
2020,"Coahuila de Zaragoza","Hombres","De 45 a 54 años",8103005,2.47017313421204
2019,"Coahuila de Zaragoza","Hombres","De 45 a 54 años",8103005,2.5415316571853306
2020,"Coahuila de Zaragoza","Hombres","De 55 a 59 años",8103005,1.52356725212082
2019,"Coahuila de Zaragoza","Hombres","De 55 a 59 años",8103005,1.0131204086323
2020,"Coahuila de Zaragoza","Hombres","De 60 años y más",8103005,0.854619771286438
2019,"Coahuila de Zaragoza","Hombres","De 60 años y más",8103005,1.03148175187198
2020,"Coahuila de Zaragoza","Mujeres","Total",8103005,0.9938233221986079
2019,"Coahuila de Zaragoza","Mujeres","Total",8103005,0.947048120611718
2020,"Coahuila de Zaragoza","Mujeres","De 18 a 24 años",8103005,0
2019,"Coahuila de Zaragoza","Mujeres","De 18 a 24 años",8103005,0
