Year,Entidad federativa,"Cobertura geografica",GeoCode,Value
2018,"Chihuahua","Rural",08,
2012,"Chihuahua","Rural",08,
2006,"Chihuahua","Rural",08,
2021,"Ciudad de México","Nacional",09,
2020,"Ciudad de México","Nacional",09,
2018,"Ciudad de México","Nacional",09,4.55
2012,"Ciudad de México","Nacional",09,
2006,"Ciudad de México","Nacional",09,
2021,"Ciudad de México","Urbana",09,
2020,"Ciudad de México","Urbana",09,
2018,"Ciudad de México","Urbana",09,
2012,"Ciudad de México","Urbana",09,
2006,"Ciudad de México","Urbana",09,
2021,"Ciudad de México","Rural",09,
2020,"Ciudad de México","Rural",09,
2018,"Ciudad de México","Rural",09,
2012,"Ciudad de México","Rural",09,
2006,"Ciudad de México","Rural",09,
2021,"Durango","Nacional",10,
2020,"Durango","Nacional",10,
2018,"Durango","Nacional",10,5.6000000000000005
2012,"Durango","Nacional",10,
2006,"Durango","Nacional",10,
2021,"Durango","Urbana",10,
2020,"Durango","Urbana",10,
2018,"Durango","Urbana",10,
2012,"Durango","Urbana",10,
2006,"Durango","Urbana",10,
2021,"Durango","Rural",10,
2020,"Durango","Rural",10,
2018,"Durango","Rural",10,
2012,"Durango","Rural",10,
2006,"Durango","Rural",10,
2021,"Guanajuato","Nacional",11,
2020,"Guanajuato","Nacional",11,
2018,"Guanajuato","Nacional",11,11.090000000000002
2012,"Guanajuato","Nacional",11,
2006,"Guanajuato","Nacional",11,
2021,"Guanajuato","Urbana",11,
2020,"Guanajuato","Urbana",11,
2018,"Guanajuato","Urbana",11,
2012,"Guanajuato","Urbana",11,
2006,"Guanajuato","Urbana",11,
2021,"Guanajuato","Rural",11,
2020,"Guanajuato","Rural",11,
2018,"Guanajuato","Rural",11,
2012,"Guanajuato","Rural",11,
2006,"Guanajuato","Rural",11,
2021,"Guerrero","Nacional",12,
2020,"Guerrero","Nacional",12,
2018,"Guerrero","Nacional",12,7
2012,"Guerrero","Nacional",12,
2006,"Guerrero","Nacional",12,
2021,"Guerrero","Urbana",12,
2020,"Guerrero","Urbana",12,
2018,"Guerrero","Urbana",12,
2012,"Guerrero","Urbana",12,
2006,"Guerrero","Urbana",12,
2021,"Guerrero","Rural",12,
2020,"Guerrero","Rural",12,
2018,"Guerrero","Rural",12,
2012,"Guerrero","Rural",12,
2006,"Guerrero","Rural",12,
2021,"Hidalgo","Nacional",13,
2020,"Hidalgo","Nacional",13,
2018,"Hidalgo","Nacional",13,3.6499999999999995
2012,"Hidalgo","Nacional",13,
2006,"Hidalgo","Nacional",13,
2021,"Hidalgo","Urbana",13,
2020,"Hidalgo","Urbana",13,
2018,"Hidalgo","Urbana",13,
2012,"Hidalgo","Urbana",13,
2006,"Hidalgo","Urbana",13,
2021,"Hidalgo","Rural",13,
2020,"Hidalgo","Rural",13,
2018,"Hidalgo","Rural",13,
2012,"Hidalgo","Rural",13,
2006,"Hidalgo","Rural",13,
2021,"Jalisco","Nacional",14,
2020,"Jalisco","Nacional",14,
2018,"Jalisco","Nacional",14,10.56
2012,"Jalisco","Nacional",14,
2006,"Jalisco","Nacional",14,
2021,"Jalisco","Urbana",14,
2020,"Jalisco","Urbana",14,
2018,"Jalisco","Urbana",14,
2012,"Jalisco","Urbana",14,
2006,"Jalisco","Urbana",14,
2021,"Jalisco","Rural",14,
2020,"Jalisco","Rural",14,
2018,"Jalisco","Rural",14,
2012,"Jalisco","Rural",14,
2006,"Jalisco","Rural",14,
2021,"México","Nacional",15,
2020,"México","Nacional",15,
2018,"México","Nacional",15,3.4499999999999997
2012,"México","Nacional",15,
2006,"México","Nacional",15,
2021,"México","Urbana",15,
2020,"México","Urbana",15,
2018,"México","Urbana",15,
2012,"México","Urbana",15,
2006,"México","Urbana",15,
2021,"México","Rural",15,
2020,"México","Rural",15,
2018,"México","Rural",15,
2012,"México","Rural",15,
2006,"México","Rural",15,
2021,"Michoacán de Ocampo","Nacional",16,
2020,"Michoacán de Ocampo","Nacional",16,
2018,"Michoacán de Ocampo","Nacional",16,9.840000000000002
