Year,Sexo (t-h-m-na),Residencia habitual fuera de México o no especificada,Value
2009,Total,Otros países,1
2008,Total,Otros países,2
2007,Total,Otros países,0
2006,Total,Otros países,0
2005,Total,Otros países,1
2004,Total,Otros países,0
2003,Total,Otros países,0
2002,Total,Otros países,3
2001,Total,Otros países,2
2000,Total,Otros países,2
1999,Total,Otros países,1
1998,Total,Otros países,0
1997,Total,Otros países,3
1996,Total,Otros países,1
1995,Total,Otros países,0
1994,Total,Otros países,1
1993,Total,Otros países,3
1992,Total,Otros países,0
1991,Total,Otros países,2
1990,Total,Otros países,0
2020,Total,No especificado,0
2019,Total,No especificado,0
2018,Total,No especificado,0
2017,Total,No especificado,0
2016,Total,No especificado,0
2015,Total,No especificado,0
2014,Total,No especificado,0
2013,Total,No especificado,0
2012,Total,No especificado,0
2011,Total,No especificado,0
2010,Total,No especificado,0
2009,Total,No especificado,0
2008,Total,No especificado,0
2007,Total,No especificado,0
2006,Total,No especificado,0
2005,Total,No especificado,0
2004,Total,No especificado,0
2003,Total,No especificado,0
2002,Total,No especificado,0
2001,Total,No especificado,0
2000,Total,No especificado,0
1999,Total,No especificado,0
1998,Total,No especificado,1
1997,Total,No especificado,1
1996,Total,No especificado,0
1995,Total,No especificado,0
1994,Total,No especificado,0
1993,Total,No especificado,0
1992,Total,No especificado,0
1991,Total,No especificado,0
1990,Total,No especificado,0
2020,Hombres,Estados Unidos de Norteamérica,3
2019,Hombres,Estados Unidos de Norteamérica,2
2018,Hombres,Estados Unidos de Norteamérica,1
2017,Hombres,Estados Unidos de Norteamérica,3
2016,Hombres,Estados Unidos de Norteamérica,2
2015,Hombres,Estados Unidos de Norteamérica,2
2014,Hombres,Estados Unidos de Norteamérica,4
2013,Hombres,Estados Unidos de Norteamérica,5
2012,Hombres,Estados Unidos de Norteamérica,2
2011,Hombres,Estados Unidos de Norteamérica,2
2010,Hombres,Estados Unidos de Norteamérica,3
2009,Hombres,Estados Unidos de Norteamérica,0
2008,Hombres,Estados Unidos de Norteamérica,3
2007,Hombres,Estados Unidos de Norteamérica,0
2006,Hombres,Estados Unidos de Norteamérica,1
2005,Hombres,Estados Unidos de Norteamérica,0
2004,Hombres,Estados Unidos de Norteamérica,0
2003,Hombres,Estados Unidos de Norteamérica,1
2002,Hombres,Estados Unidos de Norteamérica,1
2001,Hombres,Estados Unidos de Norteamérica,0
2000,Hombres,Estados Unidos de Norteamérica,0
1999,Hombres,Estados Unidos de Norteamérica,0
1998,Hombres,Estados Unidos de Norteamérica,2
1997,Hombres,Estados Unidos de Norteamérica,2
1996,Hombres,Estados Unidos de Norteamérica,1
1995,Hombres,Estados Unidos de Norteamérica,1
1994,Hombres,Estados Unidos de Norteamérica,2
1993,Hombres,Estados Unidos de Norteamérica,0
1992,Hombres,Estados Unidos de Norteamérica,0
1991,Hombres,Estados Unidos de Norteamérica,0
1990,Hombres,Estados Unidos de Norteamérica,0
2020,Hombres,Países latinoamericanos,3
2019,Hombres,Países latinoamericanos,2
2018,Hombres,Países latinoamericanos,1
2017,Hombres,Países latinoamericanos,3
2016,Hombres,Países latinoamericanos,2
2015,Hombres,Países latinoamericanos,2
2014,Hombres,Países latinoamericanos,3
2013,Hombres,Países latinoamericanos,4
2012,Hombres,Países latinoamericanos,1
2011,Hombres,Países latinoamericanos,2
2010,Hombres,Países latinoamericanos,3
2009,Hombres,Países latinoamericanos,0
2008,Hombres,Países latinoamericanos,3
2007,Hombres,Países latinoamericanos,0
2006,Hombres,Países latinoamericanos,1
2005,Hombres,Países latinoamericanos,0
2004,Hombres,Países latinoamericanos,0
2003,Hombres,Países latinoamericanos,1
2002,Hombres,Países latinoamericanos,1
2001,Hombres,Países latinoamericanos,0
2000,Hombres,Países latinoamericanos,0
1999,Hombres,Países latinoamericanos,0
1998,Hombres,Países latinoamericanos,2
1997,Hombres,Países latinoamericanos,1
1996,Hombres,Países latinoamericanos,1
1995,Hombres,Países latinoamericanos,1
1994,Hombres,Países latinoamericanos,2
1993,Hombres,Países latinoamericanos,0
