Year,Entidad federativa,Sexo,GeoCode,Value
2017,Baja California Sur,Hombres,3,56.27913520000013
2016,Baja California Sur,Hombres,3,60.66324874000014
2022,Baja California Sur,Mujeres,3,61.77633679999986
2021,Baja California Sur,Mujeres,3,63.732520730000026
2020,Baja California Sur,Mujeres,3,67.76382406999988
2019,Baja California Sur,Mujeres,3,60.48641136999984
2018,Baja California Sur,Mujeres,3,58.09357111000007
2017,Baja California Sur,Mujeres,3,61.33773922
2016,Baja California Sur,Mujeres,3,63.33617168999992
2022,Campeche,Total,4,65.57663096000014
2021,Campeche,Total,4,69.1159654800001
2020,Campeche,Total,4,69.78963914
2019,Campeche,Total,4,70.1145228599999
2018,Campeche,Total,4,65.3086702500002
2017,Campeche,Total,4,60.55764079999991
2016,Campeche,Total,4,66.37200864999983
2022,Campeche,Hombres,4,66.97551080999989
2021,Campeche,Hombres,4,66.92175458000014
2020,Campeche,Hombres,4,70.11967722000007
2019,Campeche,Hombres,4,70.69847924999998
2018,Campeche,Hombres,4,64.16710985000007
2017,Campeche,Hombres,4,62.42217253000012
2016,Campeche,Hombres,4,66.18828907999983
2022,Campeche,Mujeres,4,63.87078648999983
2021,Campeche,Mujeres,4,71.79420902000012
2020,Campeche,Mujeres,4,69.43954347
2019,Campeche,Mujeres,4,69.35456765999992
2018,Campeche,Mujeres,4,66.75518772000014
2017,Campeche,Mujeres,4,58.52863116000007
2016,Campeche,Mujeres,4,66.6402374899999
2022,Coahuila de Zaragoza,Total,5,58.71649959000005
2021,Coahuila de Zaragoza,Total,5,61.31479588999993
2020,Coahuila de Zaragoza,Total,5,63.58938918999981
2019,Coahuila de Zaragoza,Total,5,60.553872370000086
2018,Coahuila de Zaragoza,Total,5,58.56839568000012
2017,Coahuila de Zaragoza,Total,5,57.48033169999988
2016,Coahuila de Zaragoza,Total,5,60.90411443999989
2022,Coahuila de Zaragoza,Hombres,5,56.44070302999992
2021,Coahuila de Zaragoza,Hombres,5,58.79607019000009
2020,Coahuila de Zaragoza,Hombres,5,66.59008685000009
2019,Coahuila de Zaragoza,Hombres,5,58.92830337000012
2018,Coahuila de Zaragoza,Hombres,5,56.84537556000011
2017,Coahuila de Zaragoza,Hombres,5,58.234992740000045
2016,Coahuila de Zaragoza,Hombres,5,61.644039900000095
2022,Coahuila de Zaragoza,Mujeres,5,61.2453975999999
2021,Coahuila de Zaragoza,Mujeres,5,64.16250869000012
2020,Coahuila de Zaragoza,Mujeres,5,61.15656149000005
2019,Coahuila de Zaragoza,Mujeres,5,62.29501665000019
2018,Coahuila de Zaragoza,Mujeres,5,60.40276019999989
