Year,Entidad federativa,Municipio,Sexo,GeoCode,Value
2018,Colima,Colima,Hombres,60020001,44.06999999999999
2017,Colima,Colima,Hombres,60020001,39.96000000000003
2016,Colima,Colima,Hombres,60020001,38.56203483191854
2021,Colima,Colima,Mujeres,60020001,45.96000000000003
2020,Colima,Colima,Mujeres,60020001,43.760000000000126
2019,Colima,Colima,Mujeres,60020001,40.989999999999874
2018,Colima,Colima,Mujeres,60020001,39.57999999999995
2017,Colima,Colima,Mujeres,60020001,37.30000000000008
2016,Colima,Colima,Mujeres,60020001,37.08290148470802
2021,Chiapas,,Total,7,26.21000000000003
2020,Chiapas,,Total,7,23.78999999999997
2019,Chiapas,,Total,7,21.690000000000044
2018,Chiapas,,Total,7,21.519999999999985
2017,Chiapas,,Total,7,20.440000000000044
2016,Chiapas,,Total,7,19.818379912320367
2021,Chiapas,,Hombres,7,24.619999999999926
2020,Chiapas,,Hombres,7,22.690000000000044
2019,Chiapas,,Hombres,7,20.57000000000001
2018,Chiapas,,Hombres,7,20.300000000000008
2017,Chiapas,,Hombres,7,19.53000000000001
2016,Chiapas,,Hombres,7,19.08655106034525
2021,Chiapas,,Mujeres,7,30.26000000000009
2020,Chiapas,,Mujeres,7,26.78000000000006
2019,Chiapas,,Mujeres,7,24.57000000000004
2018,Chiapas,,Mujeres,7,25.19999999999996
2017,Chiapas,,Mujeres,7,23.130000000000067
2016,Chiapas,,Mujeres,7,21.78187783587402
2021,Chiapas,Tapachula,Total,70890001,35.21000000000003
2020,Chiapas,Tapachula,Total,70890001,31.94999999999993
2019,Chiapas,Tapachula,Total,70890001,
2018,Chiapas,Tapachula,Total,70890001,
2017,Chiapas,Tapachula,Total,70890001,
2016,Chiapas,Tapachula,Total,70890001,
2021,Chiapas,Tapachula,Hombres,70890001,34.989999999999895
2020,Chiapas,Tapachula,Hombres,70890001,31.429999999999936
2019,Chiapas,Tapachula,Hombres,70890001,
2018,Chiapas,Tapachula,Hombres,70890001,
2017,Chiapas,Tapachula,Hombres,70890001,
2016,Chiapas,Tapachula,Hombres,70890001,
2021,Chiapas,Tapachula,Mujeres,70890001,35.559999999999974
2020,Chiapas,Tapachula,Mujeres,70890001,32.88000000000008
2019,Chiapas,Tapachula,Mujeres,70890001,
2018,Chiapas,Tapachula,Mujeres,70890001,
2017,Chiapas,Tapachula,Mujeres,70890001,
2016,Chiapas,Tapachula,Mujeres,70890001,
2021,Chiapas,Tuxtla Gutiérrez,Total,71010001,37.78000000000005
2020,Chiapas,Tuxtla Gutiérrez,Total,71010001,36.0
2019,Chiapas,Tuxtla Gutiérrez,Total,71010001,33.90999999999995
2018,Chiapas,Tuxtla Gutiérrez,Total,71010001,33.36000000000004
2017,Chiapas,Tuxtla Gutiérrez,Total,71010001,31.849999999999937
2016,Chiapas,Tuxtla Gutiérrez,Total,71010001,30.770776883783157
2021,Chiapas,Tuxtla Gutiérrez,Hombres,71010001,38.15999999999994
2020,Chiapas,Tuxtla Gutiérrez,Hombres,71010001,36.27000000000002
2019,Chiapas,Tuxtla Gutiérrez,Hombres,71010001,34.36999999999992
2018,Chiapas,Tuxtla Gutiérrez,Hombres,71010001,33.57000000000007
2017,Chiapas,Tuxtla Gutiérrez,Hombres,71010001,32.389999999999965
2016,Chiapas,Tuxtla Gutiérrez,Hombres,71010001,31.742626676863104
2021,Chiapas,Tuxtla Gutiérrez,Mujeres,71010001,37.15999999999994
2020,Chiapas,Tuxtla Gutiérrez,Mujeres,71010001,35.51000000000011
2019,Chiapas,Tuxtla Gutiérrez,Mujeres,71010001,33.13999999999996
2018,Chiapas,Tuxtla Gutiérrez,Mujeres,71010001,33.010000000000105
2017,Chiapas,Tuxtla Gutiérrez,Mujeres,71010001,30.84000000000005
2016,Chiapas,Tuxtla Gutiérrez,Mujeres,71010001,29.01967873495369
2021,Chihuahua,,Total,8,47.88000000000009
2020,Chihuahua,,Total,8,45.97
2019,Chihuahua,,Total,8,43.4499999999999
2018,Chihuahua,,Total,8,40.63000000000009
2017,Chihuahua,,Total,8,40.25
2016,Chihuahua,,Total,8,37.7888494476441
2021,Chihuahua,,Hombres,8,49.42000000000006
2020,Chihuahua,,Hombres,8,47.64000000000007
2019,Chihuahua,,Hombres,8,44.520000000000095
2018,Chihuahua,,Hombres,8,41.97999999999992
2017,Chihuahua,,Hombres,8,42.03999999999997
2016,Chihuahua,,Hombres,8,39.17773726170344
2021,Chihuahua,,Mujeres,8,45.15999999999992
2020,Chihuahua,,Mujeres,8,43.0
2019,Chihuahua,,Mujeres,8,41.510000000000126
2018,Chihuahua,,Mujeres,8,38.28999999999997
2017,Chihuahua,,Mujeres,8,36.92999999999997
2016,Chihuahua,,Mujeres,8,35.103483045314945
2021,Chihuahua,Chihuahua,Total,80190001,52.85999999999991
2020,Chihuahua,Chihuahua,Total,80190001,52.13000000000009
2019,Chihuahua,Chihuahua,Total,80190001,49.23999999999985
2018,Chihuahua,Chihuahua,Total,80190001,46.43000000000003
2017,Chihuahua,Chihuahua,Total,80190001,42.68999999999995
2016,Chihuahua,Chihuahua,Total,80190001,40.87552681553769
2021,Chihuahua,Chihuahua,Hombres,80190001,54.909999999999904
2020,Chihuahua,Chihuahua,Hombres,80190001,53.0
2019,Chihuahua,Chihuahua,Hombres,80190001,51.43999999999989
2018,Chihuahua,Chihuahua,Hombres,80190001,49.02000000000013
2017,Chihuahua,Chihuahua,Hombres,80190001,44.17000000000005
2016,Chihuahua,Chihuahua,Hombres,80190001,42.46875133479987
2021,Chihuahua,Chihuahua,Mujeres,80190001,49.67000000000006
2020,Chihuahua,Chihuahua,Mujeres,80190001,50.76000000000015
2019,Chihuahua,Chihuahua,Mujeres,80190001,46.02000000000011
2018,Chihuahua,Chihuahua,Mujeres,80190001,42.46999999999999
2017,Chihuahua,Chihuahua,Mujeres,80190001,40.44999999999991
2016,Chihuahua,Chihuahua,Mujeres,80190001,38.33717817289707
2021,Chihuahua,Juárez,Total,80370001,49.75
2020,Chihuahua,Juárez,Total,80370001,45.28999999999997
2019,Chihuahua,Juárez,Total,80370001,45.43000000000002
2018,Chihuahua,Juárez,Total,80370001,
2017,Chihuahua,Juárez,Total,80370001,
2016,Chihuahua,Juárez,Total,80370001,
2021,Chihuahua,Juárez,Hombres,80370001,51.75
2020,Chihuahua,Juárez,Hombres,80370001,47.38000000000009
2019,Chihuahua,Juárez,Hombres,80370001,47.39999999999994
2018,Chihuahua,Juárez,Hombres,80370001,
2017,Chihuahua,Juárez,Hombres,80370001,
2016,Chihuahua,Juárez,Hombres,80370001,
2021,Chihuahua,Juárez,Mujeres,80370001,46.51000000000013
2020,Chihuahua,Juárez,Mujeres,80370001,42.03999999999997
2019,Chihuahua,Juárez,Mujeres,80370001,42.21000000000003
2018,Chihuahua,Juárez,Mujeres,80370001,
2017,Chihuahua,Juárez,Mujeres,80370001,
2016,Chihuahua,Juárez,Mujeres,80370001,
2021,Ciudad de México,,Total,9,51.89999999999991
2020,Ciudad de México,,Total,9,48.43000000000004
2019,Ciudad de México,,Total,9,40.649999999999984
2018,Ciudad de México,,Total,9,42.46999999999999
