Value,Disaggregation combinations using this value,Number of indicators
El Parral,8,2
El Plateado de Joaquín Amaro,8,2
El Porvenir,8,2
El Salto,8,2
El Salvador,8,2
El Tule,8,2
Elota,8,2
Eloxochitlán de Flores Magón,8,2
Eloxochitlán,16,2
Emiliano Zapata,48,2
Empalme,8,2
Encarnación de Díaz,8,2
Ensenada,8,2
Epatlán,8,2
Epazoyucan,8,2
Epitacio Huerta,8,2
Erongarícuaro,8,2
Escobedo,8,2
Escuinapa,8,2
Escuintla,8,2
Escárcega,8,2
Españita,8,2
Esperanza,8,2
Espinal,8,2
Espita,8,2
Etchojoa,8,2
Etzatlán,8,2
Ezequiel Montes,8,2
Felipe Carrillo Puerto,8,2
Filomeno Mata,8,2
Florencio Villarreal,8,2
Fortín,8,2
Francisco I. Madero,16,2
Francisco León,8,2
Francisco Z. Mena,8,2
Fresnillo de Trujano,8,2
Fresnillo,8,2
Frontera Comalapa,8,2
Frontera Hidalgo,8,2
Frontera,8,2
Fronteras,8,2
Gabriel Zamora,8,2
Galeana,16,2
García,8,2
Genaro Codina,8,2
General Bravo,8,2
General Canuto A. Neri,8,2
General Cepeda,8,2
General Enrique Estrada,8,2
General Escobedo,8,2
General Felipe Ángeles,8,2
General Francisco R. Murguía,8,2
General Heliodoro Castillo,8,2
General Plutarco Elías Calles,8,2
General Pánfilo Natera,8,2
General Simón Bolívar,8,2
General Terán,8,2
General Treviño,8,2
General Zaragoza,8,2
General Zuazua,8,2
González,8,2
Gran Morelos,8,2
Granados,8,2
Guachinango,8,2
Guachochi,8,2
Guadalajara,8,2
Guadalcázar,8,2
Guadalupe de Ramírez,8,2
Guadalupe Etla,8,2
Guadalupe Victoria,16,2
Guadalupe y Calvo,8,2
Guadalupe,32,2
Guanaceví,8,2
Guanajuato,8,2
Guasave,8,2
Guaymas,8,2
Guazapares,8,2
Guelatao de Juárez,8,2
Guerrero,24,2
Guevea de Humboldt,8,2
Gustavo A. Madero,8,2
Gustavo Díaz Ordaz,8,2
Gutiérrez Zamora,8,2
Gómez Farías,24,2
Gómez Palacio,8,2
Güémez,8,2
Halachó,8,2
Hecelchakán,8,2
Hermenegildo Galeana,8,2
Hermosillo,8,2
Heroica Ciudad de Ejutla de Crespo,8,2
Heroica Ciudad de Huajuapan de León,8,2
Heroica Ciudad de Juchitán de Zaragoza,8,2
Heroica Ciudad de Tlaxiaco,8,2
"Heroica Villa Tezoatlán de Segura y Luna, Cuna de la Independencia de Oaxaca",8,2
Hidalgo del Parral,8,2
Hidalgo,40,2
Hidalgotitlán,8,2
Higueras,8,2
Hocabá,8,2
Hoctún,8,2
Homún,8,2
Honduras de la Sierra,8,2
Honey,8,2
Hopelchén,8,2
Hostotipaquillo,8,2
Huachinera,8,2
Huajicori,8,2
Hualahuises,8,2
Huamantla,8,2
