Value,Disaggregation combinations using this value,Number of indicators
Tulancingo de Bravo,8,2
Tulcingo,8,2
Tultepec,8,2
Tultitlán,8,2
Tulum,8,2
Tumbalá,8,2
Tumbiscatío,8,2
Tunkás,8,2
Turicato,8,2
Tuxcacuesco,8,2
Tuxcueca,8,2
Tuxpan,32,2
Tuxtilla,8,2
Tuxtla Chico,8,2
Tuxtla Gutiérrez,8,2
Tuzamapan de Galeana,8,2
Tuzantla,8,2
Tuzantán,8,2
Tzicatlacoyan,8,2
Tzimol,8,2
Tzintzuntzan,8,2
Tzitzio,8,2
Tzompantepec,8,2
Tzucacab,8,2
Técpan de Galeana,8,2
Uayma,8,2
Ucú,8,2
Umán,8,2
Unión de San Antonio,8,2
Unión de Tula,8,2
Unión Hidalgo,8,2
Unión Juárez,8,2
Ures,8,2
Uriangato,8,2
Urique,8,2
Ursulo Galván,8,2
Uruachi,8,2
Uruapan,8,2
Uxpanapa,8,2
Valerio Trujano,8,2
Valladolid,8,2
Valle de Bravo,8,2
Valle de Chalco Solidaridad,8,2
Valle de Guadalupe,8,2
Valle de Juárez,8,2
Valle de Santiago,8,2
Valle de Zaragoza,8,2
Valle Hermoso,8,2
Vallecillo,8,2
Valparaíso,8,2
Vanegas,8,2
Vega de Alatorre,8,2
Venado,8,2
Venustiano Carranza,32,2
Veracruz,8,2
Vetagrande,8,2
Vicente Guerrero,16,2
Victoria,16,2
Viesca,8,2
Villa Aldama,8,2
Villa Comaltitlán,8,2
Villa Corona,8,2
Villa Corzo,8,2
Villa de Allende,8,2
Villa de Arista,8,2
Villa de Arriaga,8,2
Villa de Chilapa de Díaz,8,2
Villa de Cos,8,2
Villa de Etla,8,2
Villa de Guadalupe,8,2
Villa de la Paz,8,2
Villa de Ramos,8,2
Villa de Reyes,8,2
Villa de Tamazulápam del Progreso,8,2
Villa de Tezontepec,8,2
Villa de Tututepec de Melchor Ocampo,8,2
Villa de Zaachila,8,2
Villa de Álvarez,8,2
Villa del Carbón,8,2
Villa Díaz Ordaz,8,2
Villa García,8,2
Villa González Ortega,8,2
Villa Guerrero,16,2
Villa Hidalgo,40,2
Villa Juárez,8,2
Villa Pesqueira,8,2
Villa Purificación,8,2
Villa Sola de Vega,8,2
Villa Talea de Castro,8,2
Villa Tejúpam de la Unión,8,2
Villa Unión,8,2
Villa Victoria,8,2
Villaflores,8,2
Villagrán,16,2
Villaldama,8,2
Villamar,8,2
Villanueva,8,2
Vista Hermosa,8,2
Xalapa,8,2
Xalatlaco,8,2
Xalisco,8,2
Xaloztoc,8,2
Xalpatláhuac,8,2
Xaltocan,8,2
Xayacatlán de Bravo,8,2
Xichú,8,2
Xico,8,2
Xicohtzinco,8,2
Xicotepec,8,2
Xicotlán,8,2
Xicoténcatl,8,2
Xilitla,8,2
Xiutetelco,8,2
Xocchel,8,2
Xochiapulco,8,2
Xochiatipan,8,2
Xochicoatlán,8,2
Xochihuehuetlán,8,2
Xochiltepec,8,2
Xochimilco,8,2
Xochistlahuaca,8,2
Xochitepec,8,2
Xochitlán de Vicente Suárez,8,2
Xochitlán Todos Santos,8,2
Xonacatlán,8,2
Xoxocotla,16,2
Yahualica de González Gallo,8,2
Yahualica,8,2
Yajalón,8,2
Yanga,8,2
Yaonáhuac,8,2
Yauhquemehcan,8,2
Yautepec,8,2
Yaxcabá,8,2
Yaxe,8,2
Yaxkukul,8,2
Yecapixtla,8,2
Yecuatla,8,2
Yehualtepec,8,2
Yobaín,8,2
Yogana,8,2
Yuriria,8,2
Yurécuaro,8,2
Yutanduchi de Guerrero,8,2
Yécora,8,2
Zacapala,8,2
Zacapoaxtla,8,2
Zacapu,8,2
Zacatecas,8,2
Zacatelco,8,2
Zacatepec,8,2
Zacatlán,8,2
Zacazonapan,8,2
Zacoalco de Torres,8,2
Zacualpan de Amilpas,8,2
Zacualpan,16,2
Zacualtipán de Ángeles,8,2
Zamora,8,2
Zapopan,8,2
Zapotiltic,8,2
Zapotitlán de Méndez,8,2
Zapotitlán de Vadillo,8,2
Zapotitlán Lagunas,8,2
Zapotitlán Palmas,8,2
Zapotitlán Tablas,8,2
Zapotitlán,8,2
Zapotlanejo,8,2
Zapotlán de Juárez,8,2
Zapotlán del Rey,8,2
Zapotlán el Grande,8,2
Zaragoza,32,2
Zautla,8,2
Zempoala,8,2
Zentla,8,2
Zihuatanejo de Azueta,8,2
Zihuateutla,8,2
Ziltlaltépec de Trinidad Sánchez Santos,8,2
Zimapán,8,2
Zimatlán de Álvarez,8,2
Zinacantepec,8,2
Zinacantán,8,2
Zinacatepec,8,2
Zinapécuaro,8,2
Zináparo,8,2
Ziracuaretiro,8,2
Zirándaro,8,2
Zitlala,8,2
Zitácuaro,8,2
Zongolica,8,2
Zongozotla,8,2
Zontecomatlán de López y Fuentes,8,2
Zoquiapan,8,2
Zoquitlán,8,2
Zozocolco de Hidalgo,8,2
Zumpahuacán,8,2
Zumpango,8,2
Álamo Temapache,8,2
Álvaro Obregón,16,2
Ánimas Trujano,8,2
