Value,Disaggregation combinations using this value,Number of indicators
Epatlán,3,3
Epazoyucan,3,3
Epitacio Huerta,3,3
Erongarícuaro,3,3
Escobedo,3,3
Escuinapa,3,3
Escuintla,3,3
Escárcega,3,3
Españita,3,3
Esperanza,3,3
Espinal,3,3
Espita,3,3
Etchojoa,3,3
Etzatlán,3,3
Ezequiel Montes,3,3
Felipe Carrillo Puerto,3,3
Filomeno Mata,3,3
Florencio Villarreal,3,3
Fortín,3,3
Francisco I. Madero,6,3
Francisco León,3,3
Francisco Z. Mena,3,3
Fresnillo de Trujano,3,3
Fresnillo,3,3
Frontera Comalapa,3,3
Frontera Hidalgo,3,3
Frontera,3,3
Fronteras,3,3
Gabriel Zamora,3,3
Galeana,6,3
García,3,3
Genaro Codina,3,3
General Bravo,3,3
General Canuto A. Neri,3,3
General Cepeda,3,3
General Enrique Estrada,3,3
General Escobedo,3,3
General Felipe Ángeles,3,3
General Francisco R. Murguía,3,3
General Heliodoro Castillo,3,3
General Plutarco Elías Calles,3,3
General Pánfilo Natera,3,3
General Simón Bolívar,3,3
General Terán,3,3
General Treviño,3,3
General Zaragoza,3,3
General Zuazua,3,3
González,3,3
Gran Morelos,3,3
Granados,3,3
Guachinango,3,3
Guachochi,3,3
Guadalajara,3,3
Guadalcázar,3,3
Guadalupe de Ramírez,3,3
Guadalupe Etla,3,3
Guadalupe Victoria,6,3
Guadalupe y Calvo,3,3
Guadalupe,12,3
Guanaceví,3,3
Guanajuato,3,3
Guasave,3,3
Guaymas,3,3
Guazapares,3,3
Guelatao de Juárez,3,3
Guerrero,9,3
Guevea de Humboldt,3,3
Gustavo A. Madero,3,3
Gustavo Díaz Ordaz,3,3
Gutiérrez Zamora,3,3
Gómez Farías,9,3
Gómez Palacio,3,3
Güémez,3,3
Halachó,3,3
Hecelchakán,3,3
Hermenegildo Galeana,3,3
Hermosillo,3,3
Heroica Ciudad de Ejutla de Crespo,3,3
Heroica Ciudad de Huajuapan de León,3,3
Heroica Ciudad de Juchitán de Zaragoza,3,3
Heroica Ciudad de Tlaxiaco,3,3
"Heroica Villa Tezoatlán de Segura y Luna, Cuna de la Independencia de Oaxaca",3,3
Hidalgo del Parral,3,3
Hidalgo,15,3
Hidalgotitlán,3,3
Higueras,3,3
Hocabá,3,3
Hoctún,3,3
Homún,3,3
Honduras de la Sierra,3,3
Honey,3,3
Hopelchén,3,3
