Value,Disaggregation combinations using this value,Number of indicators
Trincheras,3,3
Trinidad García de la Cadena,3,3
Trinidad Zaachila,3,3
Tubutama,3,3
Tula de Allende,3,3
Tula,3,3
Tulancingo de Bravo,3,3
Tulcingo,3,3
Tultepec,3,3
Tultitlán,3,3
Tulum,3,3
Tumbalá,3,3
Tumbiscatío,3,3
Tunkás,3,3
Turicato,3,3
Tuxcacuesco,3,3
Tuxcueca,3,3
Tuxpan,12,3
Tuxtilla,3,3
Tuxtla Chico,3,3
Tuxtla Gutiérrez,3,3
Tuzamapan de Galeana,3,3
Tuzantla,3,3
Tuzantán,3,3
Tzicatlacoyan,3,3
Tzimol,3,3
Tzintzuntzan,3,3
Tzitzio,3,3
Tzompantepec,3,3
Tzucacab,3,3
Técpan de Galeana,3,3
Uayma,3,3
Ucú,3,3
Umán,3,3
Unión de San Antonio,3,3
Unión de Tula,3,3
Unión Hidalgo,3,3
Unión Juárez,3,3
Ures,3,3
Uriangato,3,3
Urique,3,3
Ursulo Galván,3,3
Uruachi,3,3
Uruapan,3,3
Uxpanapa,3,3
Valerio Trujano,3,3
Valladolid,3,3
Valle de Bravo,3,3
Valle de Chalco Solidaridad,3,3
Valle de Guadalupe,3,3
Valle de Juárez,3,3
Valle de Santiago,3,3
Valle de Zaragoza,3,3
Valle Hermoso,3,3
Vallecillo,3,3
Valparaíso,3,3
Vanegas,3,3
Vega de Alatorre,3,3
Venado,3,3
Venustiano Carranza,12,3
Veracruz,3,3
Vetagrande,3,3
Vicente Guerrero,6,3
Victoria,6,3
Viesca,3,3
Villa Aldama,3,3
Villa Comaltitlán,3,3
Villa Corona,3,3
Villa Corzo,3,3
Villa de Allende,3,3
Villa de Arista,3,3
Villa de Arriaga,3,3
Villa de Chilapa de Díaz,3,3
Villa de Cos,3,3
Villa de Etla,3,3
Villa de Guadalupe,3,3
Villa de la Paz,3,3
Villa de Ramos,3,3
Villa de Reyes,3,3
Villa de Tamazulápam del Progreso,3,3
Villa de Tezontepec,3,3
Villa de Tututepec de Melchor Ocampo,3,3
Villa de Zaachila,3,3
Villa de Álvarez,3,3
Villa del Carbón,3,3
Villa Díaz Ordaz,3,3
Villa García,3,3
Villa González Ortega,3,3
Villa Guerrero,6,3
Villa Hidalgo,15,3
Villa Juárez,3,3
Villa Pesqueira,3,3
Villa Purificación,3,3
Villa Sola de Vega,3,3
Villa Talea de Castro,3,3
Villa Tejúpam de la Unión,3,3
Villa Unión,3,3
Villa Victoria,3,3
Villaflores,3,3
Villagrán,6,3
Villaldama,3,3
Villamar,3,3
Villanueva,3,3
Vista Hermosa,3,3
Xalapa,3,3
Xalatlaco,3,3
Xalisco,3,3
Xaloztoc,3,3
Xalpatláhuac,3,3
Xaltocan,3,3
Xayacatlán de Bravo,3,3
Xichú,3,3
Xico,3,3
Xicohtzinco,3,3
Xicotepec,3,3
Xicotlán,3,3
Xicoténcatl,3,3
Xilitla,3,3
Xiutetelco,3,3
Xocchel,3,3
Xochiapulco,3,3
Xochiatipan,3,3
Xochicoatlán,3,3
Xochihuehuetlán,3,3
Xochiltepec,3,3
Xochimilco,3,3
Xochistlahuaca,3,3
Xochitepec,3,3
Xochitlán de Vicente Suárez,3,3
Xochitlán Todos Santos,3,3
Xonacatlán,3,3
Xoxocotla,6,3
Yahualica de González Gallo,3,3
Yahualica,3,3
Yajalón,3,3
Yanga,3,3
Yaonáhuac,3,3
Yauhquemehcan,3,3
Yautepec,3,3
Yaxcabá,3,3
Yaxe,3,3
Yaxkukul,3,3
Yecapixtla,3,3
Yecuatla,3,3
Yehualtepec,3,3
Yobaín,3,3
Yogana,3,3
Yuriria,3,3
Yurécuaro,3,3
Yutanduchi de Guerrero,3,3
Yécora,3,3
Zacapala,3,3
Zacapoaxtla,3,3
Zacapu,3,3
Zacatecas,3,3
Zacatelco,3,3
Zacatepec,3,3
Zacatlán,3,3
Zacazonapan,3,3
Zacoalco de Torres,3,3
Zacualpan de Amilpas,3,3
Zacualpan,6,3
Zacualtipán de Ángeles,3,3
Zamora,3,3
Zapopan,3,3
Zapotiltic,3,3
Zapotitlán de Méndez,3,3
Zapotitlán de Vadillo,3,3
Zapotitlán Lagunas,3,3
Zapotitlán Palmas,3,3
Zapotitlán Tablas,3,3
Zapotitlán,3,3
Zapotlanejo,3,3
Zapotlán de Juárez,3,3
Zapotlán del Rey,3,3
Zapotlán el Grande,3,3
Zaragoza,12,3
Zautla,3,3
Zempoala,3,3
Zentla,3,3
Zihuatanejo de Azueta,3,3
Zihuateutla,3,3
Ziltlaltépec de Trinidad Sánchez Santos,3,3
Zimapán,3,3
Zimatlán de Álvarez,3,3
Zinacantepec,3,3
Zinacantán,3,3
Zinacatepec,3,3
Zinapécuaro,3,3
Zináparo,3,3
Ziracuaretiro,3,3
Zirándaro,3,3
Zitlala,3,3
Zitácuaro,3,3
Zongolica,3,3
Zongozotla,3,3
Zontecomatlán de López y Fuentes,3,3
Zoquiapan,3,3
Zoquitlán,3,3
Zozocolco de Hidalgo,3,3
Zumpahuacán,3,3
Zumpango,3,3
Álamo Temapache,3,3
Álvaro Obregón,6,3
Ánimas Trujano,3,3
