Year,Entidad federativa,Municipio,GeoCode,Value
2021 P/,Ciudad de México,Zona Metropolitana del Valle de México,90019013,92.49662618
2020,Ciudad de México,Zona Metropolitana del Valle de México,90019013,83.08316795
2019,Ciudad de México,Zona Metropolitana del Valle de México,90019013,
2018,Ciudad de México,Zona Metropolitana del Valle de México,90019013,75.3410231
2017,Ciudad de México,Zona Metropolitana del Valle de México,90019013,76.51832371
2016,Ciudad de México,Zona Metropolitana del Valle de México,90019013,71.81842014
2015,Ciudad de México,Zona Metropolitana del Valle de México,90019013,71.49760002
2021 P/,Durango,,10,
2020,Durango,,10,
2019,Durango,,10,
2018,Durango,,10,80.02240283
2017,Durango,,10,78.14005567
2016,Durango,,10,77.07984239
2015,Durango,,10,69.44183624
2021 P/,Durango,Durango,100050001,70.82601127
2020,Durango,Durango,100050001,76.56606119
2019,Durango,Durango,100050001,
2018,Durango,Durango,100050001,65.39040777
2017,Durango,Durango,100050001,60.58746766
2016,Durango,Durango,100050001,58.2667079
2015,Durango,Durango,100050001,52.72160819
2021 P/,Guanajuato,,11,
2020,Guanajuato,,11,
2019,Guanajuato,,11,
2018,Guanajuato,,11,69.99555212
2017,Guanajuato,,11,69.0324305
2016,Guanajuato,,11,66.34312031
2015,Guanajuato,,11,
2021 P/,Guanajuato,Celaya,110070001,
2020,Guanajuato,Celaya,110070001,
2019,Guanajuato,Celaya,110070001,
2018,Guanajuato,Celaya,110070001,67.97138003
2017,Guanajuato,Celaya,110070001,68.07330354
2016,Guanajuato,Celaya,110070001,61.50597964
2015,Guanajuato,Celaya,110070001,
2021 P/,Guanajuato,Irapuato,110170001,
2020,Guanajuato,Irapuato,110170001,
2019,Guanajuato,Irapuato,110170001,
2018,Guanajuato,Irapuato,110170001,75.27319608
2017,Guanajuato,Irapuato,110170001,72.08912017
2016,Guanajuato,Irapuato,110170001,67.38372547
2015,Guanajuato,Irapuato,110170001,65.78170223
2021 P/,Guanajuato,León,110200001,72.84858635
2020,Guanajuato,León,110200001,66.26847306
2019,Guanajuato,León,110200001,
2018,Guanajuato,León,110200001,59.81734176
2017,Guanajuato,León,110200001,56.73047916
2016,Guanajuato,León,110200001,51.77104591
2015,Guanajuato,León,110200001,51.91369693
2021 P/,Guerrero,,12,
2020,Guerrero,,12,
2019,Guerrero,,12,
2018,Guerrero,,12,70.78113703
2017,Guerrero,,12,67.13048993
2016,Guerrero,,12,64.49586746
2015,Guerrero,,12,62.69814492
2021 P/,Guerrero,Acapulco,120010001,
2020,Guerrero,Acapulco,120010001,
2019,Guerrero,Acapulco,120010001,
2018,Guerrero,Acapulco,120010001,76.237946
2017,Guerrero,Acapulco,120010001,75.40732845
2016,Guerrero,Acapulco,120010001,66.88142386
2015,Guerrero,Acapulco,120010001,
2021 P/,Guerrero,Chilpancingo de los Bravo,120290001,60.61878815
2020,Guerrero,Chilpancingo de los Bravo,120290001,61.39591547
2019,Guerrero,Chilpancingo de los Bravo,120290001,
2018,Guerrero,Chilpancingo de los Bravo,120290001,52.04776595
2017,Guerrero,Chilpancingo de los Bravo,120290001,48.23393612
2016,Guerrero,Chilpancingo de los Bravo,120290001,42.46333634
2015,Guerrero,Chilpancingo de los Bravo,120290001,42.0587172
2021 P/,Hidalgo,,13,
2020,Hidalgo,,13,
2019,Hidalgo,,13,
2018,Hidalgo,,13,79.52248937
2017,Hidalgo,,13,81.2756401
2016,Hidalgo,,13,77.85291751
2015,Hidalgo,,13,74.97497355
2021 P/,Hidalgo,Pachuca,130480001,70.85707213
2020,Hidalgo,Pachuca,130480001,70.44859105
2019,Hidalgo,Pachuca,130480001,
2018,Hidalgo,Pachuca,130480001,57.49874285
2017,Hidalgo,Pachuca,130480001,59.18204967
2016,Hidalgo,Pachuca,130480001,56.14834294
2015,Hidalgo,Pachuca,130480001,55.32366822
2021 P/,Jalisco,,14,
2020,Jalisco,,14,
2019,Jalisco,,14,
2018,Jalisco,,14,80.7075561
2017,Jalisco,,14,77.23152804
2016,Jalisco,,14,75.02368614
2015,Jalisco,,14,73.03216276
2021 P/,Jalisco,Guadalajara,140390001,83.09512364
2020,Jalisco,Guadalajara,140390001,77.17760564
2019,Jalisco,Guadalajara,140390001,
2018,Jalisco,Guadalajara,140390001,73.84209856
2017,Jalisco,Guadalajara,140390001,71.25769052
2016,Jalisco,Guadalajara,140390001,68.54174561
2015,Jalisco,Guadalajara,140390001,66.99718503
2021 P/,México,,15,
2020,México,,15,
2019,México,,15,
2018,México,,15,72.13290554
2017,México,,15,68.93125236
2016,México,,15,65.20434228
2015,México,,15,62.50572158
2021 P/,México,Toluca,151060001,81.25285351
2020,México,Toluca,151060001,84.34037553
2019,México,Toluca,151060001,
2018,México,Toluca,151060001,73.98649433
2017,México,Toluca,151060001,70.69237444
2016,México,Toluca,151060001,66.39969987
2015,México,Toluca,151060001,63.74206641
2021 P/,Michoacán de Ocampo,,16,
2020,Michoacán de Ocampo,,16,
2019,Michoacán de Ocampo,,16,
2018,Michoacán de Ocampo,,16,75.13700063
2017,Michoacán de Ocampo,,16,75.25506259
2016,Michoacán de Ocampo,,16,72.36708826
2015,Michoacán de Ocampo,,16,65.95651107
2021 P/,Michoacán de Ocampo,Morelia,160530001,
2020,Michoacán de Ocampo,Morelia,160530001,
2019,Michoacán de Ocampo,Morelia,160530001,
2018,Michoacán de Ocampo,Morelia,160530001,76.28111438
2017,Michoacán de Ocampo,Morelia,160530001,69.87103664
2016,Michoacán de Ocampo,Morelia,160530001,66.46066835
2015,Michoacán de Ocampo,Morelia,160530001,
2021 P/,Michoacán de Ocampo,Uruapan,161020001,68.08456611
2020,Michoacán de Ocampo,Uruapan,161020001,60.4164166
2019,Michoacán de Ocampo,Uruapan,161020001,
2018,Michoacán de Ocampo,Uruapan,161020001,57.78671652
2017,Michoacán de Ocampo,Uruapan,161020001,53.11029057
2016,Michoacán de Ocampo,Uruapan,161020001,51.35212445
2015,Michoacán de Ocampo,Uruapan,161020001,43.9337847
2021 P/,Morelos,,17,
2020,Morelos,,17,
2019,Morelos,,17,
2018,Morelos,,17,76.7643792
2017,Morelos,,17,72.29659041
2016,Morelos,,17,70.17348079
2015,Morelos,,17,65.40955907
2021 P/,Morelos,Cuernavaca,170070001,77.5778967
2020,Morelos,Cuernavaca,170070001,74.35403008
2019,Morelos,Cuernavaca,170070001,
2018,Morelos,Cuernavaca,170070001,69.23049113
2017,Morelos,Cuernavaca,170070001,67.40967183
2016,Morelos,Cuernavaca,170070001,62.3465073
2015,Morelos,Cuernavaca,170070001,57.6057228
2021 P/,Nayarit,,18,
2020,Nayarit,,18,
2019,Nayarit,,18,
2018,Nayarit,,18,83.2435431
2017,Nayarit,,18,82.64115208
2016,Nayarit,,18,79.57780987
2015,Nayarit,,18,75.66019845
2021 P/,Nayarit,Tepic,180170001,74.33684027
2020,Nayarit,Tepic,180170001,72.12747229
2019,Nayarit,Tepic,180170001,
2018,Nayarit,Tepic,180170001,66.74947733
2017,Nayarit,Tepic,180170001,66.98357846
2016,Nayarit,Tepic,180170001,64.4186806
2015,Nayarit,Tepic,180170001,57.56020776
2021 P/,Nuevo León,,19,
2020,Nuevo León,,19,
2019,Nuevo León,,19,
2018,Nuevo León,,19,80.55038647
2017,Nuevo León,,19,76.16264321
2016,Nuevo León,,19,73.18253402
2015,Nuevo León,,19,73.33911086
2021 P/,Nuevo León,Monterrey,190390001,91.16707435
2020,Nuevo León,Monterrey,190390001,83.91480573
2019,Nuevo León,Monterrey,190390001,
2018,Nuevo León,Monterrey,190390001,77.50280676
2017,Nuevo León,Monterrey,190390001,74.54529635
2016,Nuevo León,Monterrey,190390001,69.77694332
2015,Nuevo León,Monterrey,190390001,69.79718781
2021 P/,Oaxaca,,20,
2020,Oaxaca,,20,
2019,Oaxaca,,20,
2018,Oaxaca,,20,75.05927074
2017,Oaxaca,,20,73.18229663
2016,Oaxaca,,20,66.68479461
2015,Oaxaca,,20,68.40377339
2021 P/,Oaxaca,Oaxaca,200670001,58.17021795
2020,Oaxaca,Oaxaca,200670001,55.48611852
2019,Oaxaca,Oaxaca,200670001,
2018,Oaxaca,Oaxaca,200670001,49.15919915
2017,Oaxaca,Oaxaca,200670001,48.31868661
2016,Oaxaca,Oaxaca,200670001,37.20511378
2015,Oaxaca,Oaxaca,200670001,41.89894318
2021 P/,Puebla,,21,
2020,Puebla,,21,
2019,Puebla,,21,
2018,Puebla,,21,73.63146769
2017,Puebla,,21,73.97669832
2016,Puebla,,21,69.97676141
2015,Puebla,,21,66.04755851
2021 P/,Puebla,Puebla,211140001,
2020,Puebla,Puebla,211140001,
2019,Puebla,Puebla,211140001,
2018,Puebla,Puebla,211140001,72.33958919
2017,Puebla,Puebla,211140001,69.84665149
2016,Puebla,Puebla,211140001,65.12299512
2015,Puebla,Puebla,211140001,
2021 P/,Puebla,Tehuacán,211560001,67.90418886
2020,Puebla,Tehuacán,211560001,62.55506997
2019,Puebla,Tehuacán,211560001,
2018,Puebla,Tehuacán,211560001,55.78905353
2017,Puebla,Tehuacán,211560001,56.05012212
2016,Puebla,Tehuacán,211560001,50.19697309
2015,Puebla,Tehuacán,211560001,47.74228113
2021 P/,Querétaro,,22,
2020,Querétaro,,22,
2019,Querétaro,,22,
2018,Querétaro,,22,82.71767103
2017,Querétaro,,22,82.41252025
2016,Querétaro,,22,77.9876049
2015,Querétaro,,22,74.6384151
2021 P/,Querétaro,Querétaro,220140001,86.24289646
2020,Querétaro,Querétaro,220140001,72.94343866
2019,Querétaro,Querétaro,220140001,
